Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,5,B. Nix QB - DEN ,13.36,J. Jacobs RB - GB IA ,32.00,T. Pollard RB - TEN ,6.70,J. Williams WR - DET ,18.60,B. Thomas WR - JAX ,23.00,T. McBride TE - ARI ,21.20,M. Carter RB - ARI ,8.40,J. Elliott K - PHI ,5.00,Rams DEF ,17.00,A. Jones RB - MIN IA ,0.00,L. Jackson QB - BAL ,0.00,J. Jefferson WR - MIN ,0.00,N. Collins WR - HOU IA ,0.00,R. Harvey RB - DEN ,6.50,T. Henderson RB - NE ,4.60,B. Aiyuk WR ,0.00,145.26,Luke,95.64
Joshua,9,M. Stafford QB - LAR ,9.34,T. Etienne RB - JAX ,9.50,Q. Judkins RB - CLE IR View News ,3.60,J. Chase WR - CIN ,25.10,D. London WR - ATL ,31.80,J. Johnson TE - NO ,1.50,K. Walker RB - SEA ,4.70,C. Dicker K - LAC ,17.00,49ers DEF ,0.00,M. Evans WR - TB ,0.00,M. Andrews TE - BAL ,6.60,T. Tagovailoa QB - MIA IA ,6.60,J. Jennings WR - SF ,1.70,D. Kincaid TE - BUF ,0.00,C. Brown RB - CIN ,8.90,-,-,102.54,Todd,110.72
Justin,7,J. Fields QB - NYJ IR ,4.90,J. Taylor RB - IND ,23.70,K. Williams RB - LAR ,16.70,D. Metcalf WR - PIT SUS ,19.50,G. Wilson WR - NYJ IR ,4.30,H. Henry TE - NE ,5.70,M. Pittman WR - IND ,4.00,C. McLaughlin K - TB ,6.00,Steelers DEF ,10.00,T. Kelce TE - KC ,13.80,A. Brown WR - PHI ,14.00,D. Jones QB - IND IR ,22.48,I. Pacheco RB - KC IA ,6.10,C. Austin WR - PIT ,0.00,C. Skattebo RB - NYG IR ,31.00,-,-,94.80,Aiden,157.60
Luke,3,D. Prescott QB - DAL ,22.34,J. Cook RB - BUF ,8.70,A. Jeanty RB - LV ,16.60,T. Higgins WR - CIN ,11.20,P. Nacua WR - LAR ,4.80,D. Njoku TE - CLE IA ,5.80,K. Bourne WR - SF ,19.20,H. Butker K - KC ,6.00,Eagles DEF ,1.00,C. Lamb WR - DAL ,0.00,J. Love QB - GB ,14.96,Z. Flowers WR - BAL ,8.60,Q. Johnston WR - LAC ,0.00,B. Bowers TE - LV IR ,0.00,M. Golden WR - GB ,13.20,T. Benson RB - ARI IR ,0.00,95.64,Alex,145.26
Matthew,2,B. Mayfield QB - TB ,19.64,C. McCaffrey RB - SF ,24.10,S. Barkley RB - PHI ,8.70,D. Adams WR - LAR IA ,7.90,A. St. Brown WR - DET ,13.70,S. LaPorta TE - DET IR ,16.50,D. Henry RB - BAL ,14.00,D. Carlson K - LV ,10.00,Bills DEF ,2.00,J. Dobbins RB - DEN IR ,4.00,J. Jeudy WR - CLE ,9.30,K. Pitts TE - ATL ,4.80,J. Addison WR - MIN ,0.00,Z. Charbonnet RB - SEA ,4.70,C. Williams QB - CHI ,19.88,R. Rice WR - KC IR ,0.00,116.54,Sean,116.90
Aiden,6,P. Mahomes QB - KC IR ,31.48,R. Dowdle RB - CAR ,33.90,R. White RB - TB ,17.60,K. Allen WR - LAC ,6.70,J. Waddle WR - MIA IA ,15.82,D. Goedert TE - PHI IA ,26.00,D. Montgomery RB - DET ,8.10,J. Bates K - DET ,5.00,Broncos DEF ,13.00,J. Goff QB - DET ,16.82,J. Meyers WR - JAX ,7.90,C. Hubbard RB - CAR ,0.00,W. Robinson WR - NYG IR ,20.40,T. Tucker WR - LV ,12.00,M. Harrison WR - ARI IR ,5.20,-,-,157.60,Justin,94.80
Howard,10,D. Maye QB - NE ,27.24,A. Kamara RB - NO IA ,12.60,B. Hall RB - NYJ IA ,5.90,C. Kupp WR - SEA ,12.00,E. Egbuka WR - TB ,4.40,T. Warren TE - IND ,18.30,S. Diggs WR - NE ,5.80,M. Prater K - BUF Q ,2.00,Patriots DEF ,5.00,Z. Ertz TE - WAS IR ,16.30,D. Moore WR - CHI ,8.20,N. Chubb RB - HOU IA ,0.00,K. Shakir WR - BUF ,6.30,R. Doubs WR - GB ,10.50,J. Daniels QB - WAS IA ,21.64,-,-,93.24,Ulises,122.56
Sean,4,J. Allen QB - BUF ,15.40,J. Gibbs RB - DET ,7.50,J. Croskey-Merritt RB - WAS ,5.80,R. Odunze WR - CHI IA ,5.20,T. McMillan WR - CAR ,17.90,J. Ferguson TE - DAL ,12.30,G. Pickens WR - DAL View News ,31.80,E. Pineiro K - SF ,17.00,Colts DEF ,4.00,K. Gainwell RB - PIT ,9.60,C. Olave WR - NO IA ,15.80,J. Warren RB - PIT ,8.30,X. Worthy WR - KC IA ,10.60,B. Irving RB - TB ,0.00,G. Kittle TE - SF ,0.00,-,-,116.90,Matthew,116.54
Todd,8,J. Hurts QB - PHI ,20.62,H. Haskins RB - LAC ,3.30,D. Achane RB - MIA IA ,31.00,C. Sutton WR - DEN ,2.70,R. Shaheed WR - SEA ,6.80,T. Kraft TE - GB IR ,12.30,L. McConkey WR - LAC ,23.00,B. Aubrey K - DAL ,9.00,Packers DEF ,2.00,C. Godwin WR - TB ,0.00,T. McLaurin WR - WAS ,0.00,M. Penix QB - ATL IR ,14.60,R. Pearsall WR - SF IA ,0.00,H. Fannin TE - CLE IA ,15.10,O. Hampton RB - LAC IA ,0.00,J. Mixon RB - HOU NFI-R ,0.00,110.72,Joshua,102.54
Ulises,1,J. Herbert QB - LAC IA ,18.76,J. Williams RB - DAL IR ,8.40,B. Robinson RB - ATL ,35.80,D. Samuel WR - WAS ,5.40,J. Smith-Njigba WR - SEA ,30.20,D. Waller TE - MIA IR ,9.20,C. Ridley WR - TEN IR ,2.80,J. Myers K - SEA ,10.00,Lions DEF ,2.00,T. Hockenson TE - MIN IA ,0.00,K. Murray QB - ARI IR ,0.00,D. Swift RB - CHI ,25.50,R. Stevenson RB - NE ,1.80,D. Smith WR - PHI ,8.90,J. Mason RB - MIN ,0.00,M. Nabers WR - NYG IR ,0.00,122.56,Howard,93.24
