Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,6,B. Nix QB - DEN ,17.88,T. Pollard RB - TEN ,14.80,T. Henderson RB - NE ,4.70,J. Jefferson WR - MIN ,19.30,N. Collins WR - HOU IA ,16.00,T. McBride TE - ARI ,9.10,B. Thomas WR - JAX ,12.00,J. Elliott K - PHI ,5.00,Vikings DEF ,3.00,A. Jones RB - MIN IA ,0.00,L. Jackson QB - BAL ,0.00,J. Jacobs RB - GB IA ,0.00,M. Brown WR - KC ,8.80,M. Carter RB - ARI ,18.30,R. Harvey RB - DEN ,6.00,B. Aiyuk WR ,0.00,101.78,Howard,132.42
Joshua,9,T. Tagovailoa QB - MIA IA ,22.74,T. Etienne RB - JAX ,8.80,Q. Judkins RB - CLE IR View News ,13.80,J. Chase WR - CIN ,29.00,K. Coleman WR - BUF ,10.30,D. Kincaid TE - BUF ,16.80,C. Brown RB - CIN ,11.80,C. Dicker K - LAC ,6.00,49ers DEF ,5.00,A. Rodgers QB - PIT ,0.00,M. Evans WR - TB ,0.00,M. Andrews TE - BAL ,4.20,J. Jennings WR - SF ,0.00,D. London WR - ATL ,0.00,K. Walker RB - SEA ,9.60,-,-,124.24,Sean,117.12
Justin,4,J. Fields QB - NYJ IR ,25.92,J. Taylor RB - IND ,31.60,C. Skattebo RB - NYG IR ,14.40,M. Pittman WR - IND ,14.90,G. Wilson WR - NYJ IR ,19.10,H. Henry TE - NE ,6.60,K. Williams RB - LAR ,31.10,C. McLaughlin K - TB ,12.00,Seahawks DEF ,-3.00,T. Kelce TE - KC ,19.10,A. Brown WR - PHI ,9.30,D. Jones QB - IND IR ,16.68,D. Metcalf WR - PIT SUS ,0.00,I. Pacheco RB - KC IA ,8.60,Steelers DEF ,0.00,-,-,152.62,Matthew,126.16
Luke,3,D. Prescott QB - DAL ,28.28,J. Cook RB - BUF ,4.90,A. Jeanty RB - LV ,15.90,P. Nacua WR - LAR ,24.50,Q. Johnston WR - LAC ,6.90,D. Njoku TE - CLE IA ,18.70,R. White RB - TB ,23.10,H. Butker K - KC ,4.00,Eagles DEF ,2.00,T. Higgins WR - CIN ,11.20,C. Lamb WR - DAL ,0.00,J. Love QB - GB ,0.00,Z. Flowers WR - BAL ,12.20,T. Tucker WR - LV ,11.10,M. Golden WR - GB ,0.00,T. Benson RB - ARI IR ,0.00,128.28,Aiden,129.84
Matthew,2,B. Mayfield QB - TB ,26.66,D. Henry RB - BAL ,9.30,C. McCaffrey RB - SF ,27.90,K. Allen WR - LAC ,10.80,A. St. Brown WR - DET ,18.00,J. Johnson TE - NO ,3.70,S. Barkley RB - PHI ,17.80,D. Carlson K - LV ,6.00,Bills DEF ,6.00,J. Dobbins RB - DEN IR ,15.40,J. Waddle WR - MIA IA ,23.00,S. LaPorta TE - DET IR ,20.20,J. Addison WR - MIN ,15.10,Z. Charbonnet RB - SEA ,11.80,E. Demercado RB - ARI ,6.10,R. Rice WR - KC IR ,0.00,126.16,Justin,152.62
Aiden,8,P. Mahomes QB - KC IR ,26.72,D. Montgomery RB - DET ,18.22,R. Dowdle RB - CAR ,32.40,D. Adams WR - LAR IA ,13.80,M. Harrison WR - ARI IR ,13.80,D. Goedert TE - PHI IA ,10.90,J. Williams WR - DET ,2.00,J. Bates K - DET ,5.00,Broncos DEF ,7.00,J. Goff QB - DET ,20.12,D. Moore WR - CHI ,0.00,J. Meyers WR - JAX ,7.20,C. Hubbard RB - CAR ,0.00,W. Robinson WR - NYG IR ,8.20,B. Bowers TE - LV IR ,0.00,T. Bass K - BUF IR ,0.00,129.84,Luke,128.28
Howard,10,D. Maye QB - NE ,12.12,A. Kamara RB - NO IA ,9.50,B. Hall RB - NYJ IA ,17.50,K. Shakir WR - BUF ,11.00,E. Egbuka WR - TB ,31.30,T. Warren TE - IND ,14.40,S. Diggs WR - NE ,24.60,T. Loop K - BAL ,4.00,Patriots DEF ,8.00,Z. Ertz TE - WAS IR ,0.00,C. Kupp WR - SEA ,11.90,E. Mitchell RB ,0.00,R. Doubs WR - GB ,0.00,J. Daniels QB - WAS IA ,17.14,E. Ayomanor WR - TEN ,3.80,T. Dell WR - HOU PUP ,0.00,132.42,Alex,101.78
Sean,5,J. Allen QB - BUF ,19.42,J. Gibbs RB - DET ,16.70,W. Marks RB - HOU ,2.40,C. Olave WR - NO IA ,12.90,X. Worthy WR - KC IA ,11.10,J. Ferguson TE - DAL ,23.90,G. Pickens WR - DAL View News ,13.70,S. Shrader K - IND IR View News ,2.00,Colts DEF ,15.00,K. Gainwell RB - PIT ,0.00,J. Warren RB - PIT ,0.00,R. Odunze WR - CHI IA ,0.00,B. Irving RB - TB ,0.00,T. McMillan WR - CAR ,13.30,J. Croskey-Merritt RB - WAS ,27.00,G. Kittle TE - SF ,0.00,117.12,Joshua,124.24
Todd,7,J. Hurts QB - PHI ,19.50,D. Achane RB - MIA IA ,16.60,O. Hampton RB - LAC IA ,13.00,C. Sutton WR - DEN ,17.90,L. McConkey WR - LAC ,14.90,H. Fannin TE - CLE IA ,11.30,N. Chubb RB - HOU IA ,12.10,B. Aubrey K - DAL ,7.00,Ravens DEF ,-2.00,C. Godwin WR - TB ,5.60,T. McLaurin WR - WAS ,0.00,T. Kraft TE - GB IR ,0.00,M. Penix QB - ATL IR ,0.00,R. Pearsall WR - SF IA ,0.00,Texans DEF ,11.00,J. Mixon RB - HOU NFI-R ,0.00,110.30,Ulises,158.14
Ulises,1,J. Herbert QB - LAC IA ,14.64,J. Williams RB - DAL IR ,26.90,J. Mason RB - MIN ,12.60,D. Samuel WR - WAS ,23.60,J. Smith-Njigba WR - SEA ,27.20,D. Waller TE - MIA IR ,18.80,D. Smith WR - PHI ,19.40,J. Myers K - SEA ,5.00,Lions DEF ,10.00,C. Ridley WR - TEN IR ,18.10,T. Hockenson TE - MIN IA ,9.80,K. Murray QB - ARI IR ,15.30,D. Swift RB - CHI ,0.00,R. Stevenson RB - NE ,14.70,B. Robinson RB - ATL ,0.00,M. Nabers WR - NYG IR ,0.00,158.14,Todd,110.30
