Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,1,T. Shough QB - NO ,21.92,J. Jacobs RB - GB IA ,1.30,D. Achane RB - MIA IA ,14.20,M. Evans WR - TB ,12.10,J. Meyers WR - JAX ,7.90,T. McBride TE - ARI ,23.60,T. Henderson RB - NE ,8.20,C. Boswell K - PIT ,6.00,Buccaneers DEF ,3.00,L. Jackson QB - BAL ,0.00,T. McLaurin WR - WAS ,11.30,J. Jefferson WR - MIN ,7.00,M. Carter RB - ARI ,6.30,K. Shakir WR - BUF ,9.50,B. Thomas WR - JAX ,7.90,-,-,98.22,Sean,102.48
Joshua,9,M. Stafford QB - LAR ,12.76,S. Barkley RB - PHI ,6.80,K. Walker RB - SEA ,7.70,D. Moore WR - CHI ,1.70,E. Egbuka WR - TB ,5.00,O. Gadsden TE - LAC ,12.20,J. Jeudy WR - CLE ,10.40,C. Dicker K - LAC ,4.00,Dolphins DEF ,10.00,D. Kincaid TE - BUF ,0.00,J. Addison WR - MIN ,12.50,C. Rodriguez RB - WAS ,0.00,B. Nix QB - DEN ,19.48,T. Johnson TE - NYG IA ,0.00,Q. Judkins RB - CLE IR View News ,0.00,J. Dobbins RB - DEN IR ,0.00,70.56,-,-
Justin,4,T. Lawrence QB - JAX ,23.12,J. Taylor RB - IND ,17.40,K. Williams RB - LAR ,16.00,A. Brown WR - PHI ,11.80,J. Williams WR - DET ,5.70,J. Johnson TE - NO ,13.50,K. Gainwell RB - PIT ,6.80,C. McLaughlin K - TB ,5.00,Steelers DEF ,10.00,T. Kelce TE - KC ,8.60,D. Metcalf WR - PIT SUS ,0.00,M. Pittman WR - IND ,3.60,X. Worthy WR - KC IA ,0.10,J. Dart QB - NYG ,25.08,Seahawks DEF ,10.00,G. Wilson WR - NYJ IR ,0.00,109.32,Ulises,151.72
Luke,7,D. Prescott QB - DAL ,22.68,J. Cook RB - BUF ,8.70,A. Jeanty RB - LV ,9.30,C. Lamb WR - DAL ,9.60,P. Nacua WR - LAR ,15.70,K. Pitts TE - ATL ,3.60,T. Higgins WR - CIN ,9.90,C. Little K - JAX ,13.00,Packers DEF ,-3.00,C. Godwin WR - TB ,23.80,Z. Flowers WR - BAL ,13.00,Q. Johnston WR - LAC ,14.80,C. Williams QB - CHI ,23.00,B. Bowers TE - LV IR ,0.00,K. Vidal RB - LAC ,0.00,T. Benson RB - ARI IR ,0.00,89.48,Todd,145.10
Matthew,6,B. Mayfield QB - TB ,17.44,D. Henry RB - BAL ,45.60,C. McCaffrey RB - SF ,28.10,J. Chase WR - CIN ,25.00,A. St. Brown WR - DET ,14.80,A. Barner TE - SEA ,13.30,T. Etienne RB - JAX ,11.20,K. Fairbairn K - HOU ,8.00,Rams DEF ,6.00,H. Henry TE - NE ,13.90,R. Rice WR - KC IR ,0.00,T. Franklin WR - DEN ,5.70,T. Tracy RB - NYG ,6.70,J. Daniels QB - WAS IA ,0.00,Bears DEF ,5.00,S. LaPorta TE - DET IR ,0.00,169.44,Aiden,60.88
Aiden,8,J. Goff QB - DET ,2.08,R. Dowdle RB - CAR ,9.30,K. Monangai RB - CHI ,7.70,J. Waddle WR - MIA IA ,0.70,W. Robinson WR - NYG IR ,22.30,D. Goedert TE - PHI IA ,9.80,M. Harrison WR - ARI IR ,0.00,J. Bates K - DET ,4.00,Broncos DEF ,5.00,K. Allen WR - LAC ,2.70,P. Mahomes QB - KC IR ,0.00,D. Montgomery RB - DET ,6.00,R. White RB - TB ,3.70,J. Downs WR - IND ,5.40,T. Tucker WR - LV ,9.90,-,-,60.88,Matthew,169.44
Howard,10,D. Maye QB - NE ,32.44,B. Hall RB - NYJ IA ,20.90,R. Harvey RB - DEN ,18.60,D. Adams WR - LAR IA ,0.00,S. Diggs WR - NE ,22.10,T. Warren TE - IND ,9.30,T. Pollard RB - TEN ,11.50,T. Loop K - BAL ,11.00,Chiefs DEF ,4.00,C. Kupp WR - SEA ,1.60,M. Andrews TE - BAL ,6.80,R. Doubs WR - GB ,9.20,Z. Charbonnet RB - SEA ,26.20,S. Sanders QB - CLE View News ,9.44,Patriots DEF ,7.00,-,-,129.84,-,-
Sean,3,J. Allen QB - BUF ,23.18,J. Gibbs RB - DET ,6.40,B. Irving RB - TB ,8.30,C. Olave WR - NO IA ,25.90,G. Pickens WR - DAL View News ,11.80,B. Strange TE - JAX ,8.40,T. McMillan WR - CAR ,1.50,J. Myers K - SEA ,9.00,Texans DEF ,8.00,G. Kittle TE - SF ,0.00,D. London WR - ATL ,1.40,J. Ferguson TE - DAL ,7.60,J. Warren RB - PIT ,6.40,E. Wilson RB - GB ,3.40,W. Marks RB - HOU ,8.50,-,-,102.48,Alex,98.22
Todd,5,J. Burrow QB - CIN ,20.40,C. Brown RB - CIN ,29.10,O. Hampton RB - LAC IA ,20.00,N. Collins WR - HOU IA ,8.70,M. Wilson WR - ARI ,19.90,H. Fannin TE - CLE IA ,11.00,C. Sutton WR - DEN ,8.00,B. Aubrey K - DAL ,16.00,Saints DEF ,12.00,J. Brissett QB - ARI ,16.48,A. Jones RB - MIN IA ,15.30,J. Hurts QB - PHI ,8.90,J. Jennings WR - SF ,12.20,L. McConkey WR - LAC ,4.10,T. Johnson WR - TB ,3.90,-,-,145.10,Luke,89.48
Ulises,2,B. Purdy QB - SF Q ,36.92,J. Williams RB - DAL IR ,11.40,B. Robinson RB - ATL ,39.90,D. Smith WR - PHI ,4.50,J. Smith-Njigba WR - SEA ,16.20,D. Schultz TE - HOU ,4.90,D. Swift RB - CHI ,21.90,H. Butker K - KC ,9.00,Jaguars DEF ,7.00,D. Waller TE - MIA IR ,1.00,D. Samuel WR - WAS ,11.30,J. Herbert QB - LAC IA ,15.14,R. Stevenson RB - NE ,27.20,T. Allgeier RB - ATL ,2.30,J. Mason RB - MIN ,0.00,-,-,151.72,Justin,109.32
