Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,4,L. Jackson QB - BAL ,29.36,J. Jacobs RB - GB IA ,14.00,T. Henderson RB - NE ,11.10,J. Jefferson WR - MIN ,14.80,N. Collins WR - HOU IA ,5.50,T. McBride TE - ARI ,12.10,D. Moore WR - CHI ,8.60,J. Elliott K - PHI ,8.00,Chargers DEF ,2.00,E. Engram TE - DEN ,5.10,A. Jones RB - MIN IA ,15.70,J. Meyers WR - JAX ,17.70,B. Robinson RB - SF ,4.70,B. Nix QB - DEN ,6.84,R. Harvey RB - DEN ,7.90,B. Aiyuk WR ,0.00,105.46,Joshua,70.86
Joshua,10,T. Tagovailoa QB - MIA IA ,5.26,I. Pacheco RB - KC IA ,4.80,C. Brown RB - CIN ,13.10,J. Chase WR - CIN ,4.60,D. London WR - ATL ,13.50,M. Andrews TE - BAL ,1.50,M. Evans WR - TB ,10.10,C. Dicker K - LAC ,9.00,49ers DEF ,9.00,J. Jennings WR - SF ,3.60,N. Harris RB - LAC IR ,2.00,K. Walker RB - SEA ,5.40,D. Kincaid TE - BUF ,14.80,R. Odunze WR - CHI IA ,15.70,D. Maye QB - NE ,15.78,Q. Judkins RB - CLE IR View News ,0.00,70.86,Alex,105.46
Justin,9,J. Burrow QB - CIN ,8.82,S. Barkley RB - PHI ,18.40,J. Taylor RB - IND ,12.80,A. Brown WR - PHI ,1.80,D. Metcalf WR - PIT SUS ,12.30,T. Kelce TE - KC ,12.70,J. Williams WR - DET ,6.60,J. Bates K - DET ,7.00,Cardinals DEF ,5.00,J. Dobbins RB - DEN IR ,14.80,M. Pittman WR - IND ,20.00,K. Pitts TE - ATL ,12.90,C. Olave WR - NO IA ,12.40,R. White RB - TB ,2.60,K. Johnson RB - PIT IA ,-0.20,J. Addison WR - MIN ,0.00,85.42,Todd,99.28
Luke,3,J. Love QB - GB ,15.92,J. Cook RB - BUF ,21.20,A. Jeanty RB - LV ,12.00,T. Higgins WR - CIN ,6.30,P. Nacua WR - LAR ,23.10,D. Njoku TE - CLE IA ,6.70,C. Sutton WR - DEN ,18.10,H. Butker K - KC ,11.00,Eagles DEF ,3.00,D. Prescott QB - DAL ,7.82,J. Conner RB - ARI IR ,14.40,Z. Flowers WR - BAL ,28.10,C. Loveland TE - CHI ,3.20,M. Golden WR - GB ,3.60,O. Hampton RB - LAC IA ,8.10,-,-,117.32,Ulises,104.22
Matthew,1,B. Mayfield QB - TB ,22.58,C. Hubbard RB - CAR ,17.90,K. Williams RB - LAR ,13.90,A. St. Brown WR - DET ,8.50,G. Wilson WR - NYJ IR ,22.50,B. Bowers TE - LV IR ,15.30,C. McCaffrey RB - SF ,23.20,D. Carlson K - LV ,10.00,Bills DEF ,0.00,K. Allen WR - LAC ,19.80,A. Ekeler RB - WAS IR ,8.70,H. Renfrow WR IA ,3.10,J. Waddle WR - MIA IA ,7.00,Z. Charbonnet RB - SEA ,10.70,C. Williams QB - CHI ,24.20,R. Rice WR - KC IR ,0.00,133.88,Howard,121.82
Aiden,2,P. Mahomes QB - KC IR ,26.02,D. Henry RB - BAL ,29.20,D. Montgomery RB - DET ,8.30,D. Adams WR - LAR IA ,9.10,B. Thomas WR - JAX ,9.00,S. LaPorta TE - DET IR ,13.90,M. Harrison WR - ARI IR ,18.10,E. McPherson K - CIN ,5.00,Broncos DEF ,14.00,J. Goff QB - DET ,10.90,C. Kupp WR - SEA ,3.50,C. Kirk WR - HOU ,0.00,D. Goedert TE - PHI IA ,11.40,T. Pollard RB - TEN ,7.90,J. Blue RB - DAL ,0.00,T. Bass K - BUF IR ,0.00,132.62,Sean,113.56
Howard,6,J. Daniels QB - WAS IA ,20.12,A. Kamara RB - NO IA ,13.70,B. Hall RB - NYJ IA ,16.50,T. Hunter WR - JAX IR ,9.30,E. Egbuka WR - TB ,23.60,T. Warren TE - IND ,14.90,C. Ridley WR - TEN IR ,6.70,C. Boswell K - PIT ,14.00,Giants DEF ,3.00,Z. Ertz TE - WAS IR ,11.60,D. Hopkins WR - BAL ,11.50,S. Diggs WR - NE ,11.70,K. Shakir WR - BUF ,12.40,J. Ford RB - CLE IR ,1.50,J. McCarthy QB - MIN Q ,22.22,-,-,121.82,Matthew,133.88
Sean,7,J. Allen QB - BUF ,38.76,J. Gibbs RB - DET ,15.00,B. Irving RB - TB ,14.50,G. Pickens WR - DAL View News ,6.00,X. Worthy WR - KC IA ,0.00,G. Kittle TE - SF ,12.50,T. McMillan WR - CAR ,11.80,K. Fairbairn K - HOU ,13.00,Steelers DEF ,2.00,J. Jeudy WR - CLE ,11.60,T. Etienne RB - JAX ,18.60,J. Warren RB - PIT ,13.90,K. Coleman WR - BUF ,25.20,J. Croskey-Merritt RB - WAS ,14.20,-,-,-,-,113.56,Aiden,132.62
Todd,5,J. Hurts QB - PHI ,24.28,D. Achane RB - MIA IA ,16.50,T. Tracy RB - NYG ,5.50,C. Lamb WR - DAL ,18.00,L. McConkey WR - LAC ,13.40,T. Kraft TE - GB IR ,9.90,T. McLaurin WR - WAS ,4.70,B. Aubrey K - DAL ,10.00,Ravens DEF ,-3.00,C. Godwin WR - TB ,0.00,J. Smith TE - PIT ,12.50,N. Chubb RB - HOU IA ,6.00,M. Mims WR - DEN ,2.20,M. Penix QB - ATL IR ,24.02,R. Pearsall WR - SF IA ,14.80,J. Mixon RB - HOU NFI-R ,0.00,99.28,Justin,85.42
Ulises,8,K. Murray QB - ARI IR ,18.32,D. Swift RB - CHI ,9.50,B. Robinson RB - ATL ,24.40,J. Smith-Njigba WR - SEA ,19.40,M. Nabers WR - NYG IR ,12.10,T. Hockenson TE - MIN IA ,4.50,T. Hill WR - MIA IR ,8.00,J. Myers K - SEA ,7.00,Cowboys DEF ,1.00,D. Samuel WR - WAS ,22.60,J. Herbert QB - LAC IA ,27.92,J. Williams RB - DAL IR ,20.40,R. Stevenson RB - NE ,4.70,D. Smith WR - PHI ,4.60,J. Mason RB - MIN ,8.50,-,-,104.22,Luke,117.32
