Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,1,L. Jackson QB - BAL ,4.74,J. Jacobs RB - GB IA ,4.80,D. Achane RB - MIA IA ,18.00,M. Evans WR - TB ,14.10,J. Meyers WR - JAX ,8.60,T. McBride TE - ARI ,6.70,T. Henderson RB - NE ,2.20,C. Boswell K - PIT ,11.00,Bills DEF ,8.00,T. McLaurin WR - WAS ,8.30,J. Love QB - GB ,3.78,J. Jefferson WR - MIN ,14.50,M. Carter RB - ARI ,6.50,K. Shakir WR - BUF ,7.40,B. Thomas WR - JAX ,3.80,-,-,78.14,Justin,111.86
Joshua,9,M. Stafford QB - LAR ,30.88,S. Barkley RB - PHI ,21.20,Q. Judkins RB - CLE IR View News ,10.10,D. Moore WR - CHI ,21.90,E. Egbuka WR - TB ,5.00,O. Gadsden TE - LAC ,1.70,K. Walker RB - SEA ,25.40,C. Dicker K - LAC ,10.00,Dolphins DEF ,-2.00,J. Jeudy WR - CLE ,4.20,D. Kincaid TE - BUF ,0.00,J. Addison WR - MIN ,4.60,C. Rodriguez RB - WAS ,13.90,B. Nix QB - DEN ,15.18,T. Johnson TE - NYG IA ,0.00,J. Dobbins RB - DEN IR ,0.00,124.18,-,-
Justin,4,T. Lawrence QB - JAX ,31.16,J. Taylor RB - IND ,16.90,K. Williams RB - LAR ,11.50,A. Brown WR - PHI ,18.50,J. Williams WR - DET ,12.00,T. Kelce TE - KC ,1.60,D. Metcalf WR - PIT SUS ,8.20,C. McLaughlin K - TB ,10.00,Seahawks DEF ,2.00,K. Hunt RB - KC ,0.20,M. Pittman WR - IND ,7.20,J. Johnson TE - NO ,16.90,K. Gainwell RB - PIT ,23.80,X. Worthy WR - KC IA ,6.10,J. Dart QB - NYG ,0.02,G. Wilson WR - NYJ IR ,0.00,111.86,Alex,78.14
Luke,7,D. Prescott QB - DAL ,19.16,J. Cook RB - BUF ,26.40,A. Jeanty RB - LV ,31.80,C. Lamb WR - DAL ,11.10,P. Nacua WR - LAR ,46.50,K. Pitts TE - ATL ,18.70,T. Higgins WR - CIN ,14.30,C. Little K - JAX ,10.00,Packers DEF ,0.00,C. Godwin WR - TB ,8.00,Z. Flowers WR - BAL ,21.20,Q. Johnston WR - LAC ,20.40,C. Williams QB - CHI ,21.00,B. Bowers TE - LV IR ,14.30,K. Vidal RB - LAC ,1.10,T. Benson RB - ARI IR ,0.00,177.96,Matthew,148.90
Matthew,6,B. Mayfield QB - TB ,12.70,D. Henry RB - BAL ,22.80,C. McCaffrey RB - SF ,32.60,J. Chase WR - CIN ,19.90,A. St. Brown WR - DET ,9.40,B. Strange TE - JAX ,14.90,T. Etienne RB - JAX ,16.60,K. Fairbairn K - HOU ,15.00,Bears DEF ,5.00,H. Henry TE - NE ,15.50,R. Rice WR - KC IR ,0.00,T. Franklin WR - DEN ,10.60,T. Tracy RB - NYG ,9.80,J. Daniels QB - WAS IA ,0.00,Rams DEF ,6.00,S. LaPorta TE - DET IR ,0.00,148.90,Luke,177.96
Aiden,8,J. Goff QB - DET ,26.46,R. Dowdle RB - CAR ,8.30,K. Monangai RB - CHI ,12.30,J. Waddle WR - MIA IA ,12.20,W. Robinson WR - NYG IR ,5.20,D. Goedert TE - PHI IA ,12.20,K. Allen WR - LAC ,9.40,J. Bates K - DET ,6.00,Broncos DEF ,4.00,P. Mahomes QB - KC IR ,0.00,D. Montgomery RB - DET ,1.40,R. White RB - TB ,8.00,J. Downs WR - IND ,11.80,T. Tucker WR - LV ,9.40,M. Harrison WR - ARI IR ,2.40,-,-,96.06,Todd,153.50
Howard,10,D. Maye QB - NE ,23.70,B. Hall RB - NYJ IA ,8.30,R. Harvey RB - DEN ,22.10,D. Adams WR - LAR IA ,0.00,S. Diggs WR - NE ,22.80,T. Warren TE - IND ,6.00,T. Pollard RB - TEN ,10.20,T. Loop K - BAL ,6.00,Chiefs DEF ,2.00,C. Kupp WR - SEA ,6.90,M. Andrews TE - BAL ,4.40,R. Doubs WR - GB ,19.40,Z. Charbonnet RB - SEA ,17.40,S. Sanders QB - CLE View News ,11.18,Patriots DEF ,5.00,-,-,101.10,-,-
Sean,3,J. Allen QB - BUF ,6.90,J. Gibbs RB - DET ,22.80,B. Irving RB - TB ,7.10,C. Olave WR - NO IA ,36.80,G. Pickens WR - DAL View News ,26.00,G. Kittle TE - SF ,24.50,D. London WR - ATL ,5.70,J. Myers K - SEA ,2.00,Texans DEF ,11.00,J. Ferguson TE - DAL ,4.90,C. Watson WR - GB ,3.70,J. Warren RB - PIT ,29.10,E. Wilson RB - GB ,8.20,T. McMillan WR - CAR ,19.30,W. Marks RB - HOU ,0.00,-,-,142.80,Ulises,146.60
Todd,5,J. Hurts QB - PHI ,19.40,C. Brown RB - CIN ,32.90,O. Hampton RB - LAC IA ,16.50,N. Collins WR - HOU IA ,9.90,M. Wilson WR - ARI ,13.20,H. Fannin TE - CLE IA ,19.50,J. Jennings WR - SF ,18.10,B. Aubrey K - DAL ,5.00,Saints DEF ,19.00,J. Brissett QB - ARI ,10.62,A. Jones RB - MIN IA ,11.30,C. Sutton WR - DEN ,20.60,J. Burrow QB - CIN ,28.96,L. McConkey WR - LAC ,14.30,T. Johnson WR - TB ,0.90,-,-,153.50,Aiden,96.06
Ulises,2,J. Herbert QB - LAC IA ,30.20,J. Williams RB - DAL IR ,6.30,B. Robinson RB - ATL ,29.80,D. Smith WR - PHI ,16.20,J. Smith-Njigba WR - SEA ,23.60,D. Schultz TE - HOU ,14.50,D. Swift RB - CHI ,9.00,H. Butker K - KC ,11.00,Jaguars DEF ,6.00,D. Waller TE - MIA IR ,7.00,D. Samuel WR - WAS ,6.50,R. Stevenson RB - NE ,17.80,T. Allgeier RB - ATL ,8.30,B. Purdy QB - SF Q ,30.90,J. Mason RB - MIN ,2.10,-,-,146.60,Sean,142.80
