Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,5,L. Jackson QB - BAL ,10.68,J. Jacobs RB - GB IA ,31.70,T. Pollard RB - TEN ,10.60,J. Jefferson WR - MIN ,22.60,N. Collins WR - HOU IA ,11.90,T. McBride TE - ARI ,12.20,B. Thomas WR - JAX ,10.60,J. Elliott K - PHI ,7.00,Chargers DEF ,6.00,A. Jones RB - MIN IA ,0.00,D. Mooney WR - ATL ,2.50,B. Nix QB - DEN ,25.74,R. Harvey RB - DEN ,19.80,B. Tuten RB - JAX ,3.20,T. Henderson RB - NE ,12.60,B. Aiyuk WR ,0.00,123.28,Justin,127.54
Joshua,9,T. Tagovailoa QB - MIA IA ,15.68,T. Etienne RB - JAX ,19.50,K. Walker RB - SEA ,12.00,J. Chase WR - CIN ,7.30,D. London WR - ATL ,25.00,D. Kincaid TE - BUF ,9.80,Q. Judkins RB - CLE IR View News ,21.50,C. Dicker K - LAC ,4.00,49ers DEF ,0.00,A. Rodgers QB - PIT ,12.80,M. Evans WR - TB ,0.00,M. Andrews TE - BAL ,10.00,J. Jennings WR - SF ,6.40,C. Brown RB - CIN ,10.10,K. Coleman WR - BUF ,7.50,-,-,114.78,Luke,181.48
Justin,6,J. Fields QB - NYJ IR ,27.14,J. Taylor RB - IND ,14.60,K. Williams RB - LAR ,10.40,A. Brown WR - PHI ,2.70,D. Metcalf WR - PIT SUS ,23.60,H. Henry TE - NE ,11.90,G. Wilson WR - NYJ IR ,20.20,M. Prater K - BUF Q ,7.00,Steelers DEF ,10.00,T. Kelce TE - KC ,9.80,D. Jones QB - IND IR ,10.38,M. Pittman WR - IND ,15.10,I. Pacheco RB - KC IA ,12.80,T. Franklin WR - DEN ,9.50,C. Skattebo RB - NYG IR ,13.00,-,-,127.54,Alex,123.28
Luke,2,J. Love QB - GB ,26.28,J. Cook RB - BUF ,22.50,A. Jeanty RB - LV ,33.50,P. Nacua WR - LAR ,36.00,M. Golden WR - GB ,11.30,D. Njoku TE - CLE IA ,3.10,Q. Johnston WR - LAC ,23.80,H. Butker K - KC ,13.00,Eagles DEF ,12.00,D. Prescott QB - DAL ,30.96,T. Higgins WR - CIN ,6.20,C. Lamb WR - DAL ,0.00,Z. Flowers WR - BAL ,14.40,T. Tucker WR - LV ,4.20,T. Benson RB - ARI IR ,10.40,-,-,181.48,Joshua,114.78
Matthew,1,B. Mayfield QB - TB ,18.86,D. Henry RB - BAL ,7.80,C. McCaffrey RB - SF ,26.10,K. Allen WR - LAC ,8.70,A. St. Brown WR - DET ,26.00,J. Johnson TE - NO ,5.80,S. Barkley RB - PHI ,17.40,D. Carlson K - LV ,6.00,Bills DEF ,6.00,J. Dobbins RB - DEN IR ,11.50,J. Waddle WR - MIA IA ,7.80,S. LaPorta TE - DET IR ,6.90,J. Addison WR - MIN ,15.40,Z. Charbonnet RB - SEA ,12.40,C. Williams QB - CHI ,11.78,R. Rice WR - KC IR ,0.00,122.66,Todd,112.90
Aiden,8,P. Mahomes QB - KC IR ,27.30,D. Montgomery RB - DET ,1.20,C. Hubbard RB - CAR ,9.90,D. Adams WR - LAR IA ,15.60,J. Meyers WR - JAX ,7.00,B. Bowers TE - LV IR ,9.60,J. Williams WR - DET ,5.70,J. Bates K - DET ,12.00,Broncos DEF ,10.00,J. Goff QB - DET ,12.72,C. Kupp WR - SEA ,6.60,D. Moore WR - CHI ,7.80,D. Goedert TE - PHI IA ,19.70,W. Robinson WR - NYG IR ,4.40,M. Harrison WR - ARI IR ,18.60,T. Bass K - BUF IR ,0.00,98.30,Ulises,120.42
Howard,10,J. Dart QB - NYG ,19.84,A. Kamara RB - NO IA ,11.20,B. Hall RB - NYJ IA ,16.10,E. Ayomanor WR - TEN ,6.40,E. Egbuka WR - TB ,20.10,T. Warren TE - IND ,18.30,K. Shakir WR - BUF ,17.90,C. Boswell K - PIT ,6.00,Patriots DEF ,11.00,Z. Ertz TE - WAS IR ,6.10,D. Hopkins WR - BAL ,0.00,S. Diggs WR - NE ,16.10,C. Ridley WR - TEN IR ,5.00,C. Rodriguez RB - WAS ,5.90,J. Daniels QB - WAS IA ,0.00,-,-,126.84,Sean,135.06
Sean,4,J. Allen QB - BUF ,24.86,J. Gibbs RB - DET ,17.70,B. Irving RB - TB ,25.50,C. Olave WR - NO IA ,9.00,R. Odunze WR - CHI IA ,16.90,J. Ferguson TE - DAL ,17.00,X. Worthy WR - KC IA ,17.10,S. Shrader K - IND IR View News ,10.00,Packers DEF ,-3.00,G. Pickens WR - DAL View News ,33.40,J. Warren RB - PIT ,0.00,T. McMillan WR - CAR ,10.20,J. Croskey-Merritt RB - WAS ,7.70,G. Kittle TE - SF ,0.00,-,-,-,-,135.06,Howard,126.84
Todd,7,J. Hurts QB - PHI ,19.40,D. Achane RB - MIA IA ,17.10,O. Hampton RB - LAC IA ,27.50,L. McConkey WR - LAC ,2.10,R. Pearsall WR - SF IA ,8.60,T. Kraft TE - GB IR ,10.60,C. Godwin WR - TB ,5.60,B. Aubrey K - DAL ,8.00,Texans DEF ,14.00,C. Sutton WR - DEN ,19.10,N. Chubb RB - HOU IA ,8.20,T. McLaurin WR - WAS ,0.00,M. Penix QB - ATL IR ,18.72,H. Fannin TE - CLE IA ,4.50,Ravens DEF ,-3.00,J. Mixon RB - HOU NFI-R ,0.00,112.90,Matthew,122.66
Ulises,3,J. Herbert QB - LAC IA ,12.52,J. Mason RB - MIN ,10.20,B. Robinson RB - ATL ,28.10,J. Smith-Njigba WR - SEA ,13.00,M. Nabers WR - NYG IR ,4.00,T. Hockenson TE - MIN IA ,7.90,T. Hill WR - MIA IR ,12.70,J. Myers K - SEA ,13.00,Lions DEF ,19.00,K. Murray QB - ARI IR ,16.10,D. Samuel WR - WAS ,20.10,D. Swift RB - CHI ,16.00,J. Williams RB - DAL IR ,19.00,R. Stevenson RB - NE ,5.10,D. Smith WR - PHI ,4.90,-,-,120.42,Aiden,98.30
