Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,5,L. Jackson QB - BAL ,26.30,J. Jacobs RB - GB IA ,14.40,T. Henderson RB - NE ,6.00,J. Jefferson WR - MIN ,11.10,N. Collins WR - HOU IA ,14.20,T. McBride TE - ARI ,13.80,J. Meyers WR - JAX ,12.80,J. Elliott K - PHI ,12.00,Chargers DEF ,13.00,E. Engram TE - DEN ,2.20,A. Jones RB - MIN IA ,2.30,D. Moore WR - CHI ,9.60,B. Nix QB - DEN ,20.24,R. Harvey RB - DEN ,3.40,T. Hunter WR - JAX IR ,5.20,B. Aiyuk WR ,0.00,123.60,Matthew,149.30
Joshua,7,T. Tagovailoa QB - MIA IA ,18.60,K. Walker RB - SEA ,18.80,C. Brown RB - CIN ,8.50,J. Chase WR - CIN ,36.50,D. London WR - ATL ,5.90,M. Andrews TE - BAL ,1.40,M. Evans WR - TB ,10.60,C. Dicker K - LAC ,8.00,49ers DEF ,5.00,A. Rodgers QB - PIT ,10.42,J. Jennings WR - SF ,19.90,N. Harris RB - LAC IR ,6.80,I. Pacheco RB - KC IA ,3.90,D. Kincaid TE - BUF ,7.70,R. Odunze WR - CHI IA ,31.80,Q. Judkins RB - CLE IR View News ,10.10,113.30,Aiden,86.28
Justin,10,J. Fields QB - NYJ IR ,3.98,S. Barkley RB - PHI ,17.40,J. Taylor RB - IND ,29.50,A. Brown WR - PHI ,7.70,D. Metcalf WR - PIT SUS ,11.00,T. Kelce TE - KC ,10.10,M. Pittman WR - IND ,8.00,J. Bates K - DET ,10.00,Cardinals DEF ,13.00,J. Dobbins RB - DEN IR ,15.50,J. Burrow QB - CIN ,7.04,K. Pitts TE - ATL ,7.70,J. Williams WR - DET ,18.80,C. Olave WR - NO IA ,11.40,R. White RB - TB ,14.60,J. Addison WR - MIN ,0.00,110.68,Luke,130.44
Luke,3,D. Prescott QB - DAL ,22.14,J. Cook RB - BUF ,26.50,A. Jeanty RB - LV ,7.40,T. Higgins WR - CIN ,14.60,P. Nacua WR - LAR ,27.60,D. Njoku TE - CLE IA ,8.00,J. Conner RB - ARI IR ,12.20,H. Butker K - KC ,7.00,Eagles DEF ,5.00,C. Sutton WR - DEN ,1.60,J. Love QB - GB ,20.88,Z. Flowers WR - BAL ,14.90,Q. Johnston WR - LAC ,15.90,M. Golden WR - GB ,1.50,O. Hampton RB - LAC IA ,3.50,-,-,130.44,Justin,110.68
Matthew,1,B. Mayfield QB - TB ,19.90,C. McCaffrey RB - SF ,22.70,K. Williams RB - LAR ,10.00,A. St. Brown WR - DET ,39.20,G. Wilson WR - NYJ IR ,9.00,B. Bowers TE - LV IR ,8.80,C. Hubbard RB - CAR ,18.70,D. Carlson K - LV ,11.00,Bills DEF ,10.00,K. Allen WR - LAC ,17.10,A. Ekeler RB - WAS IR ,4.40,J. Johnson TE - NO ,15.90,J. Waddle WR - MIA IA ,17.80,Z. Charbonnet RB - SEA ,1.00,C. Williams QB - CHI ,16.98,R. Rice WR - KC IR ,0.00,149.30,Alex,123.60
Aiden,6,P. Mahomes QB - KC IR ,22.08,D. Henry RB - BAL ,2.30,D. Montgomery RB - DET ,13.10,D. Adams WR - LAR IA ,22.60,B. Thomas WR - JAX ,8.90,S. LaPorta TE - DET IR ,5.60,M. Harrison WR - ARI IR ,4.70,E. McPherson K - CIN ,7.00,Broncos DEF ,0.00,J. Goff QB - DET ,33.96,C. Kupp WR - SEA ,16.00,C. Kirk WR - HOU ,0.00,D. Goedert TE - PHI IA ,0.00,T. Pollard RB - TEN ,9.20,J. Blue RB - DAL ,0.00,T. Bass K - BUF IR ,0.00,86.28,Joshua,113.30
Howard,8,J. Daniels QB - WAS IA ,19.70,A. Kamara RB - NO IA ,16.00,B. Hall RB - NYJ IA ,5.80,S. Diggs WR - NE ,7.20,E. Egbuka WR - TB ,12.90,T. Warren TE - IND ,11.90,D. Hopkins WR - BAL ,14.40,C. Boswell K - PIT ,9.00,Patriots DEF ,13.00,Z. Ertz TE - WAS IR ,18.40,C. Ridley WR - TEN IR ,8.70,M. Brown WR - KC ,8.00,K. Shakir WR - BUF ,2.20,J. McCarthy QB - MIN Q ,2.82,D. Sampson RB - CLE ,10.90,-,-,109.90,Todd,150.14
Sean,9,J. Allen QB - BUF ,11.82,T. Etienne RB - JAX ,16.90,J. Gibbs RB - DET ,19.40,K. Boutte WR - NE ,8.60,T. McMillan WR - CAR ,16.00,B. Strange TE - JAX ,4.70,B. Irving RB - TB ,18.10,K. Fairbairn K - HOU ,9.00,Steelers DEF ,5.00,J. Jeudy WR - CLE ,9.10,G. Pickens WR - DAL View News ,17.80,J. Warren RB - PIT ,17.40,K. Coleman WR - BUF ,5.60,X. Worthy WR - KC IA ,0.00,J. Croskey-Merritt RB - WAS ,1.70,G. Kittle TE - SF ,0.00,109.52,Ulises,155.68
Todd,2,J. Hurts QB - PHI ,11.54,N. Chubb RB - HOU IA ,15.20,D. Achane RB - MIA IA ,26.20,C. Lamb WR - DAL ,20.20,L. McConkey WR - LAC ,9.80,T. Kraft TE - GB IR ,24.40,T. McLaurin WR - WAS ,9.80,B. Aubrey K - DAL ,20.00,Ravens DEF ,13.00,C. Godwin WR - TB ,0.00,J. Smith TE - PIT ,6.70,M. Penix QB - ATL IR ,5.30,T. Tracy RB - NYG ,9.10,R. Pearsall WR - SF IA ,9.20,H. Fannin TE - CLE IA ,9.80,J. Mixon RB - HOU NFI-R ,0.00,150.14,Howard,109.90
Ulises,4,J. Herbert QB - LAC IA ,18.78,J. Williams RB - DAL IR ,25.00,B. Robinson RB - ATL ,19.80,J. Smith-Njigba WR - SEA ,18.30,M. Nabers WR - NYG IR ,37.70,T. Hockenson TE - MIN IA ,2.20,T. Hill WR - MIA IR ,16.90,J. Myers K - SEA ,9.00,Rams DEF ,8.00,K. Murray QB - ARI IR ,14.00,D. Samuel WR - WAS ,17.40,D. Swift RB - CHI ,13.90,R. Stevenson RB - NE ,21.20,D. Smith WR - PHI ,9.30,J. Mason RB - MIN ,5.80,-,-,155.68,Sean,109.52
