Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,1,L. Jackson QB - BAL ,7.22,B. Knight RB - ARI IR ,13.20,T. Henderson RB - NE ,11.10,J. Jefferson WR - MIN ,8.80,K. Shakir WR - BUF ,17.00,T. McBride TE - ARI ,16.90,J. Meyers WR - JAX ,15.00,C. Boswell K - PIT ,4.00,Ravens DEF ,11.00,T. Lockett WR - LV ,10.20,J. Jacobs RB - GB IA ,0.00,D. Singletary RB - NYG ,4.70,J. Love QB - GB ,7.06,D. Achane RB - MIA IA ,0.00,B. Thomas WR - JAX ,0.00,B. Aiyuk WR ,0.00,104.22,Justin,83.34
Joshua,9,M. Stafford QB - LAR ,22.92,S. Barkley RB - PHI ,12.40,Q. Judkins RB - CLE IR View News ,16.70,R. Odunze WR - CHI IA ,8.30,E. Egbuka WR - TB ,6.20,T. Johnson TE - NYG IA ,10.70,K. Walker RB - SEA ,13.10,J. Elliott K - PHI ,3.00,Texans DEF ,15.00,Z. Ertz TE - WAS IR ,0.00,D. Moore WR - CHI ,23.40,D. Kincaid TE - BUF ,0.00,J. Addison WR - MIN ,0.00,B. Nix QB - DEN ,0.00,O. Gadsden TE - LAC ,0.00,J. Dobbins RB - DEN IR ,0.00,108.32,Ulises,120.82
Justin,5,D. Jones QB - IND IR ,16.84,J. Taylor RB - IND ,8.60,K. Williams RB - LAR ,5.80,M. Pittman WR - IND ,13.70,J. Williams WR - DET ,0.00,T. Kelce TE - KC ,8.40,A. Brown WR - PHI ,25.00,C. McLaughlin K - TB ,1.00,Seahawks DEF ,4.00,K. Hunt RB - KC ,20.00,D. Metcalf WR - PIT SUS ,14.40,J. Johnson TE - NO ,10.60,K. Gainwell RB - PIT ,18.20,X. Worthy WR - KC IA ,9.90,J. Dart QB - NYG ,0.00,G. Wilson WR - NYJ IR ,0.00,83.34,Alex,104.22
Luke,6,D. Prescott QB - DAL ,27.06,J. Cook RB - BUF ,21.90,A. Jeanty RB - LV ,24.80,C. Lamb WR - DAL ,11.50,P. Nacua WR - LAR ,16.70,B. Bowers TE - LV IR ,11.50,T. Higgins WR - CIN ,8.10,C. Little K - JAX ,13.00,Browns DEF ,16.00,K. Pitts TE - ATL ,4.50,Z. Flowers WR - BAL ,11.90,Q. Johnston WR - LAC ,0.00,C. Williams QB - CHI ,21.66,K. Vidal RB - LAC ,0.00,M. Golden WR - GB ,0.00,T. Benson RB - ARI IR ,0.00,150.56,Sean,162.02
Matthew,4,B. Mayfield QB - TB ,3.54,D. Henry RB - BAL ,22.80,C. McCaffrey RB - SF ,27.20,A. St. Brown WR - DET ,29.90,R. Rice WR - KC IR ,24.10,A. Barner TE - SEA ,3.80,T. Etienne RB - JAX ,20.60,W. Reichard K - MIN ,10.00,Rams DEF ,18.00,J. Chase WR - CIN ,0.00,A. Pierce WR - IND ,3.60,T. Franklin WR - DEN ,0.00,T. Tracy RB - NYG ,16.00,J. Daniels QB - WAS IA ,0.00,J. Croskey-Merritt RB - WAS ,0.00,S. LaPorta TE - DET IR ,0.00,159.94,Todd,105.18
Aiden,8,P. Mahomes QB - KC IR ,17.08,D. Montgomery RB - DET ,6.70,R. Dowdle RB - CAR ,11.40,W. Robinson WR - NYG IR ,30.60,T. Tucker WR - LV ,5.80,D. Goedert TE - PHI IA ,4.00,J. Downs WR - IND ,3.00,J. Bates K - DET ,12.00,Colts DEF ,8.00,K. Allen WR - LAC ,0.00,J. Goff QB - DET ,17.16,J. Waddle WR - MIA IA ,0.00,R. White RB - TB ,5.20,M. Harrison WR - ARI IR ,0.00,Broncos DEF ,0.00,-,-,98.58,Howard,92.46
Howard,10,D. Maye QB - NE ,15.96,B. Hall RB - NYJ IA ,13.90,W. Marks RB - HOU ,7.90,D. Adams WR - LAR IA ,23.20,S. Diggs WR - NE ,4.00,M. Andrews TE - BAL ,2.10,C. Kupp WR - SEA ,4.40,T. Loop K - BAL ,11.00,Patriots DEF ,10.00,A. Kamara RB - NO IA ,3.50,T. Pollard RB - TEN ,8.10,R. Doubs WR - GB ,4.30,Z. Charbonnet RB - SEA ,9.50,R. Harvey RB - DEN ,0.00,T. Warren TE - IND ,9.50,-,-,92.46,Aiden,98.58
Sean,2,J. Allen QB - BUF ,8.12,J. Gibbs RB - DET ,55.40,S. Tucker RB - TB ,5.60,C. Olave WR - NO IA ,16.00,T. McMillan WR - CAR ,11.50,G. Kittle TE - SF ,13.80,G. Pickens WR - DAL View News ,29.60,J. Myers K - SEA ,12.00,Steelers DEF ,10.00,D. London WR - ATL ,0.00,J. Ferguson TE - DAL ,11.10,J. Warren RB - PIT ,12.80,P. Washington WR - JAX ,18.10,B. Irving RB - TB ,0.00,Jaguars DEF ,7.00,-,-,162.02,Luke,150.56
Todd,7,J. Brissett QB - ARI ,18.68,A. Jones RB - MIN IA ,8.70,C. Brown RB - CIN ,15.00,J. Jennings WR - SF ,15.10,N. Collins WR - HOU IA ,8.50,H. Fannin TE - CLE IA ,8.40,M. Wilson WR - ARI ,21.80,B. Aubrey K - DAL ,6.00,Lions DEF ,3.00,C. Sutton WR - DEN ,0.00,J. Burrow QB - CIN ,0.00,J. Hurts QB - PHI ,30.86,R. Shaheed WR - SEA ,0.50,L. McConkey WR - LAC ,0.00,T. Johnson WR - TB ,12.30,O. Hampton RB - LAC IA ,0.00,105.18,Matthew,159.94
Ulises,3,B. Purdy QB - SF Q ,7.32,J. Williams RB - DAL IR ,12.10,B. Robinson RB - ATL ,14.70,D. Smith WR - PHI ,14.90,J. Smith-Njigba WR - SEA ,37.10,D. Schultz TE - HOU ,1.80,D. Swift RB - CHI ,1.90,H. Butker K - KC ,15.00,Falcons DEF ,16.00,T. Hockenson TE - MIN IA ,5.90,D. Samuel WR - WAS ,0.00,J. Herbert QB - LAC IA ,0.00,R. Stevenson RB - NE ,2.00,T. Allgeier RB - ATL ,5.90,J. Mason RB - MIN ,4.20,D. Waller TE - MIA IR ,0.00,120.82,Joshua,108.32
