Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,2,L. Jackson QB - BAL ,16.64,A. Jones RB - MIN IA ,15.90,J. Jacobs RB - GB IA ,19.70,J. Jefferson WR - MIN ,7.70,N. Collins WR - HOU IA ,22.60,T. McBride TE - ARI ,27.70,T. Henderson RB - NE ,28.00,C. Boswell K - PIT ,6.00,Jaguars DEF ,11.00,M. Andrews TE - BAL ,10.40,J. Meyers WR - JAX ,7.10,J. Love QB - GB ,7.84,C. Brown RB - CIN ,0.00,B. Thomas WR - JAX ,0.00,R. Harvey RB - DEN ,3.80,B. Aiyuk WR ,0.00,155.24,Matthew,120.72
Joshua,9,B. Nix QB - DEN ,5.80,S. Barkley RB - PHI ,13.10,Q. Judkins RB - CLE IR View News ,10.50,J. Addison WR - MIN ,6.50,E. Egbuka WR - TB ,23.50,O. Gadsden TE - LAC ,4.30,J. Dobbins RB - DEN IR ,9.40,C. Dicker K - LAC ,13.00,Texans DEF ,14.00,M. Stafford QB - LAR ,26.90,Z. Ertz TE - WAS IR ,9.40,D. Moore WR - CHI ,0.00,K. Walker RB - SEA ,8.00,D. Kincaid TE - BUF ,5.70,R. Odunze WR - CHI IA ,20.60,-,-,100.10,Justin,118.52
Justin,5,S. Darnold QB - SEA ,4.92,J. Taylor RB - IND ,49.60,K. Williams RB - LAR ,22.40,D. Metcalf WR - PIT SUS ,6.50,M. Pittman WR - IND ,3.90,H. Henry TE - NE ,1.90,A. Brown WR - PHI ,3.30,C. McLaughlin K - TB ,5.00,Seahawks DEF ,21.00,T. Kelce TE - KC ,0.00,K. Hunt RB - KC ,0.00,D. Jones QB - IND IR ,15.50,J. Williams WR - DET ,23.90,G. Wilson WR - NYJ IR ,0.00,X. Worthy WR - KC IA ,0.00,T. Hunter WR - JAX IR ,0.00,118.52,Joshua,100.10
Luke,7,C. Williams QB - CHI ,25.10,J. Cook RB - BUF ,10.70,A. Jeanty RB - LV ,15.30,Z. Flowers WR - BAL ,12.10,P. Nacua WR - LAR ,17.40,B. Bowers TE - LV IR ,3.70,Q. Johnston WR - LAC ,9.20,C. Little K - JAX ,13.00,Browns DEF ,5.00,D. Prescott QB - DAL ,0.00,T. Higgins WR - CIN ,0.00,C. Lamb WR - DAL ,0.00,K. Pitts TE - ATL ,5.80,K. Vidal RB - LAC ,17.80,M. Golden WR - GB ,0.00,T. Benson RB - ARI IR ,0.00,111.50,Ulises,111.70
Matthew,3,B. Mayfield QB - TB ,22.92,D. Henry RB - BAL ,11.40,C. McCaffrey RB - SF ,17.60,A. St. Brown WR - DET ,16.80,T. Franklin WR - DEN ,15.00,S. LaPorta TE - DET IR ,10.30,T. Etienne RB - JAX ,15.70,W. Reichard K - MIN ,7.00,Rams DEF ,4.00,J. Chase WR - CIN ,0.00,B. Knight RB - ARI IR ,4.30,R. Rice WR - KC IR ,0.00,J. Daniels QB - WAS IA ,0.00,J. Croskey-Merritt RB - WAS ,3.00,K. Fairbairn K - HOU ,0.00,-,-,120.72,Alex,155.24
Aiden,8,J. Goff QB - DET ,24.80,R. Dowdle RB - CAR ,15.30,R. White RB - TB ,10.40,K. Allen WR - LAC ,3.90,J. Waddle WR - MIA IA ,19.40,D. Goedert TE - PHI IA ,8.30,M. Harrison WR - ARI IR ,14.30,J. Bates K - DET ,12.00,Broncos DEF ,12.00,P. Mahomes QB - KC IR ,0.00,D. Montgomery RB - DET ,10.10,J. Johnson TE - NO ,19.20,C. Hubbard RB - CAR ,2.50,W. Robinson WR - NYG IR ,12.20,T. Tucker WR - LV ,5.50,-,-,120.40,Sean,150.14
Howard,10,D. Maye QB - NE ,18.10,A. Kamara RB - NO IA ,14.50,B. Hall RB - NYJ IA ,19.50,D. Adams WR - LAR IA ,19.70,S. Diggs WR - NE ,15.60,T. Warren TE - IND ,17.90,R. Doubs WR - GB ,1.50,T. Loop K - BAL ,13.00,Patriots DEF ,2.00,C. Kupp WR - SEA ,9.40,T. Pollard RB - TEN ,0.00,K. Shakir WR - BUF ,12.80,Z. Charbonnet RB - SEA ,14.30,T. Tracy RB - NYG ,8.10,W. Marks RB - HOU ,16.10,-,-,121.80,Todd,139.88
Sean,4,J. Allen QB - BUF ,19.34,J. Gibbs RB - DET ,38.20,K. Monangai RB - CHI ,8.80,D. London WR - ATL ,24.40,P. Washington WR - JAX ,17.90,G. Kittle TE - SF ,23.40,J. Warren RB - PIT ,11.10,E. Pineiro K - SF ,2.00,Colts DEF ,5.00,J. Ferguson TE - DAL ,0.00,C. Olave WR - NO IA ,21.40,G. Pickens WR - DAL View News ,0.00,B. Irving RB - TB ,0.00,T. McMillan WR - CAR ,11.00,Steelers DEF ,5.00,-,-,150.14,Aiden,120.40
Todd,6,J. Dart QB - NYG ,26.28,D. Achane RB - MIA IA ,40.50,E. Demercado RB - ARI ,13.40,C. Sutton WR - DEN ,5.40,J. Jennings WR - SF ,17.10,C. Loveland TE - CHI ,9.50,L. McConkey WR - LAC ,20.70,W. Lutz K - DEN ,4.00,Bills DEF ,3.00,J. Hurts QB - PHI ,12.02,R. Shaheed WR - SEA ,3.30,H. Fannin TE - CLE IA ,8.40,T. Johnson WR - TB ,20.20,B. Aubrey K - DAL ,0.00,Packers DEF ,6.00,O. Hampton RB - LAC IA ,0.00,139.88,Howard,121.80
Ulises,1,J. Herbert QB - LAC IA ,14.70,D. Swift RB - CHI ,14.80,B. Robinson RB - ATL ,10.80,D. Smith WR - PHI ,16.90,J. Smith-Njigba WR - SEA ,20.30,D. Schultz TE - HOU ,18.30,D. Samuel WR - WAS ,12.90,M. Prater K - BUF Q ,1.00,Lions DEF ,2.00,C. Ridley WR - TEN IR ,0.00,T. Hockenson TE - MIN IA ,2.80,K. Murray QB - ARI IR ,0.00,J. Williams RB - DAL IR ,0.00,R. Stevenson RB - NE ,0.00,J. Mason RB - MIN ,4.10,D. Waller TE - MIA IR ,0.00,111.70,Luke,111.50
