Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,4,B. Nix QB - DEN ,39.96,J. Jacobs RB - GB IA ,18.80,T. Henderson RB - NE ,0.50,J. Jefferson WR - MIN ,12.90,N. Collins WR - HOU IA ,6.70,T. McBride TE - ARI ,29.40,B. Thomas WR - JAX ,6.10,C. Boswell K - PIT ,7.00,Bears DEF ,13.00,Z. Ertz TE - WAS IR ,12.70,A. Jones RB - MIN IA ,0.00,L. Jackson QB - BAL ,0.00,N. Chubb RB - HOU IA ,2.10,M. Carter RB - ARI ,5.60,R. Harvey RB - DEN ,7.20,B. Aiyuk WR ,0.00,134.36,Aiden,100.34
Joshua,9,M. Stafford QB - LAR ,27.38,T. Etienne RB - JAX ,6.50,Q. Judkins RB - CLE IR View News ,26.40,J. Chase WR - CIN ,38.10,D. London WR - ATL ,8.20,O. Gadsden TE - LAC ,29.40,M. Evans WR - TB ,0.00,C. Dicker K - LAC ,6.00,49ers DEF ,8.00,M. Andrews TE - BAL ,0.00,T. Tagovailoa QB - MIA IA ,-1.40,J. Jennings WR - SF ,7.10,K. Walker RB - SEA ,6.60,D. Kincaid TE - BUF ,0.00,C. Brown RB - CIN ,12.00,-,-,149.98,Howard,113.54
Justin,7,D. Jones QB - IND IR ,22.22,J. Taylor RB - IND ,34.20,K. Williams RB - LAR ,8.50,D. Metcalf WR - PIT SUS ,8.00,M. Pittman WR - IND ,20.80,T. Kelce TE - KC ,8.40,C. Skattebo RB - NYG IR ,18.40,C. McLaughlin K - TB ,5.00,Steelers DEF ,1.00,H. Henry TE - NE ,7.30,S. Darnold QB - SEA ,8.62,A. Brown WR - PHI ,28.10,I. Pacheco RB - KC IA ,12.40,G. Wilson WR - NYJ IR ,0.00,C. Austin WR - PIT ,0.00,-,-,126.52,Sean,127.36
Luke,6,D. Prescott QB - DAL ,23.26,K. Vidal RB - LAC ,7.50,A. Jeanty RB - LV ,4.40,K. Bourne WR - SF ,3.40,C. Lamb WR - DAL ,22.00,K. Pitts TE - ATL ,13.20,Q. Johnston WR - LAC ,11.00,H. Butker K - KC ,7.00,Eagles DEF ,12.00,T. Higgins WR - CIN ,21.60,J. Cook RB - BUF ,0.00,Z. Flowers WR - BAL ,0.00,P. Nacua WR - LAR ,0.00,B. Bowers TE - LV IR ,0.00,M. Golden WR - GB ,7.70,T. Benson RB - ARI IR ,0.00,103.76,Todd,124.92
Matthew,2,B. Mayfield QB - TB ,11.12,C. McCaffrey RB - SF ,39.10,S. Barkley RB - PHI ,5.20,A. St. Brown WR - DET ,20.60,R. Rice WR - KC IR ,23.20,S. LaPorta TE - DET IR ,4.50,J. Dobbins RB - DEN IR ,9.00,M. Gay K ,2.00,Chiefs DEF ,13.00,D. Henry RB - BAL ,0.00,J. Addison WR - MIN ,21.80,C. Williams QB - CHI ,4.68,L. McCaffrey WR - WAS IR ,0.00,E. Egbuka WR - TB ,9.80,Bills DEF ,0.00,-,-,127.72,Ulises,166.30
Aiden,8,P. Mahomes QB - KC IR ,26.24,R. Dowdle RB - CAR ,10.60,R. White RB - TB ,8.40,K. Allen WR - LAC ,28.90,J. Waddle WR - MIA IA ,2.50,D. Goedert TE - PHI IA ,4.80,D. Montgomery RB - DET ,5.90,J. Bates K - DET ,8.00,Broncos DEF ,5.00,J. Goff QB - DET ,10.34,J. Meyers WR - JAX ,0.00,C. Hubbard RB - CAR ,7.50,W. Robinson WR - NYG IR ,15.50,T. Tucker WR - LV ,8.30,M. Harrison WR - ARI IR ,7.80,-,-,100.34,Alex,134.36
Howard,10,J. Daniels QB - WAS IA ,17.74,T. Pollard RB - TEN ,12.10,B. Hall RB - NYJ IA ,7.20,D. Adams WR - LAR IA ,26.50,C. Kupp WR - SEA ,2.20,T. Warren TE - IND ,16.90,A. Kamara RB - NO IA ,5.90,N. Folk K - NYJ ,6.00,Patriots DEF ,19.00,S. Diggs WR - NE ,13.90,K. Shakir WR - BUF ,0.00,J. Williams WR - DET ,0.00,R. Doubs WR - GB ,13.20,Z. Charbonnet RB - SEA ,19.50,D. Maye QB - NE ,23.08,-,-,113.54,Joshua,149.98
Sean,3,A. Rodgers QB - PIT ,22.56,J. Gibbs RB - DET ,36.80,J. Croskey-Merritt RB - WAS ,4.20,C. Olave WR - NO IA ,26.80,X. Worthy WR - KC IA ,7.80,G. Kittle TE - SF ,0.00,G. Pickens WR - DAL View News ,12.20,E. Pineiro K - SF ,10.00,Colts DEF ,7.00,J. Allen QB - BUF ,0.00,J. Ferguson TE - DAL ,21.90,J. Warren RB - PIT ,19.80,R. Odunze WR - CHI IA ,5.10,B. Irving RB - TB ,0.00,T. McMillan WR - CAR ,6.30,-,-,127.36,Justin,126.52
Todd,5,J. Dart QB - NYG ,28.42,H. Haskins RB - LAC ,2.50,D. Achane RB - MIA IA ,12.80,C. Sutton WR - DEN ,16.70,R. Shaheed WR - SEA ,8.00,T. Kraft TE - GB IR ,16.80,L. McConkey WR - LAC ,15.70,B. Aubrey K - DAL ,16.00,Packers DEF ,8.00,C. Godwin WR - TB ,0.00,T. McLaurin WR - WAS ,0.00,J. Hurts QB - PHI ,24.04,R. Pearsall WR - SF IA ,0.00,H. Fannin TE - CLE IA ,7.60,O. Hampton RB - LAC IA ,0.00,J. Mixon RB - HOU NFI-R ,0.00,124.92,Luke,103.76
Ulises,1,J. Herbert QB - LAC IA ,27.90,J. Williams RB - DAL IR ,18.80,B. Robinson RB - ATL ,21.20,D. Smith WR - PHI ,33.30,J. Smith-Njigba WR - SEA ,26.30,D. Waller TE - MIA IR ,0.00,D. Swift RB - CHI ,20.80,J. Myers K - SEA ,9.00,Seahawks DEF ,9.00,C. Ridley WR - TEN IR ,0.00,T. Hockenson TE - MIN IA ,10.30,K. Murray QB - ARI IR ,0.00,D. Samuel WR - WAS ,0.00,R. Stevenson RB - NE ,16.80,J. Mason RB - MIN ,11.70,M. Nabers WR - NYG IR ,0.00,166.30,Matthew,127.72
