Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,1,L. Jackson QB - BAL ,21.06,J. Jacobs RB - GB IA ,17.20,D. Achane RB - MIA IA ,17.50,T. McLaurin WR - WAS ,7.10,J. Jefferson WR - MIN ,3.10,T. McBride TE - ARI ,10.80,J. Meyers WR - JAX ,14.80,C. Boswell K - PIT ,9.00,Buccaneers DEF ,5.00,J. Love QB - GB ,19.26,K. Shakir WR - BUF ,9.60,B. Knight RB - ARI IR ,6.40,B. Thomas WR - JAX ,11.70,T. Henderson RB - NE ,0.00,D. Neal RB - NO IR ,15.40,M. Evans WR - TB ,0.00,105.56,Joshua,87.18
Joshua,9,B. Nix QB - DEN ,15.98,S. Barkley RB - PHI ,18.20,Q. Judkins RB - CLE IR View News ,9.40,D. Moore WR - CHI ,0.60,E. Egbuka WR - TB ,3.50,O. Gadsden TE - LAC ,1.70,K. Walker RB - SEA ,3.80,C. Dicker K - LAC ,18.00,Dolphins DEF ,16.00,M. Stafford QB - LAR ,23.24,Z. Ertz TE - WAS IR ,2.10,D. Kincaid TE - BUF ,14.10,J. Addison WR - MIN ,10.20,R. Odunze WR - CHI IA ,0.00,T. Johnson TE - NYG IA ,0.00,J. Dobbins RB - DEN IR ,0.00,87.18,Alex,105.56
Justin,5,D. Jones QB - IND IR ,0.80,J. Taylor RB - IND ,11.40,K. Williams RB - LAR ,17.70,A. Brown WR - PHI ,16.00,J. Williams WR - DET ,17.30,T. Kelce TE - KC ,1.80,M. Pittman WR - IND ,16.90,C. McLaughlin K - TB ,8.00,Seahawks DEF ,17.00,K. Hunt RB - KC ,9.00,D. Metcalf WR - PIT SUS ,21.80,J. Johnson TE - NO ,7.80,K. Gainwell RB - PIT ,16.20,X. Worthy WR - KC IA ,8.50,J. Dart QB - NYG ,0.00,G. Wilson WR - NYJ IR ,0.00,106.90,Luke,142.94
Luke,4,D. Prescott QB - DAL ,18.44,J. Cook RB - BUF ,11.10,A. Jeanty RB - LV ,5.80,C. Lamb WR - DAL ,18.10,P. Nacua WR - LAR ,35.70,B. Bowers TE - LV IR ,14.60,T. Higgins WR - CIN ,27.20,C. Little K - JAX ,10.00,Browns DEF ,2.00,K. Pitts TE - ATL ,15.00,Z. Flowers WR - BAL ,20.60,Q. Johnston WR - LAC ,2.80,C. Williams QB - CHI ,14.94,K. Vidal RB - LAC ,11.40,M. Golden WR - GB ,0.00,T. Benson RB - ARI IR ,0.00,142.94,Justin,106.90
Matthew,7,J. Daniels QB - WAS IA ,2.72,D. Henry RB - BAL ,11.20,T. Etienne RB - JAX ,21.20,J. Chase WR - CIN ,10.20,R. Rice WR - KC IR ,7.40,B. Strange TE - JAX ,5.70,A. St. Brown WR - DET ,15.20,E. McPherson K - CIN ,4.00,Rams DEF ,6.00,H. Henry TE - NE ,0.00,C. McCaffrey RB - SF ,0.00,B. Mayfield QB - TB ,11.08,A. Pierce WR - IND ,13.00,T. Franklin WR - DEN ,4.10,T. Tracy RB - NYG ,0.00,S. LaPorta TE - DET IR ,0.00,83.62,Aiden,97.80
Aiden,8,P. Mahomes QB - KC IR ,6.30,D. Montgomery RB - DET ,14.30,K. Monangai RB - CHI ,8.70,J. Waddle WR - MIA IA ,18.10,T. Tucker WR - LV ,4.40,D. Goedert TE - PHI IA ,15.80,K. Allen WR - LAC ,5.20,J. Bates K - DET ,14.00,Broncos DEF ,11.00,J. Goff QB - DET ,16.16,R. Dowdle RB - CAR ,0.00,W. Robinson WR - NYG IR ,0.00,R. White RB - TB ,6.50,J. Downs WR - IND ,6.30,M. Harrison WR - ARI IR ,0.00,-,-,97.80,Matthew,83.62
Howard,10,S. Sanders QB - CLE View News ,33.46,B. Hall RB - NYJ IA ,4.30,R. Harvey RB - DEN ,22.00,D. Adams WR - LAR IA ,6.90,C. Kupp WR - SEA ,11.50,T. Warren TE - IND ,3.70,R. Doubs WR - GB ,0.00,T. Loop K - BAL ,10.00,Chiefs DEF ,4.00,S. Diggs WR - NE ,0.00,M. Andrews TE - BAL ,1.90,T. Pollard RB - TEN ,28.10,Z. Charbonnet RB - SEA ,8.60,D. Maye QB - NE ,0.00,Patriots DEF ,0.00,-,-,95.86,Sean,157.64
Sean,2,J. Allen QB - BUF ,37.84,J. Warren RB - PIT ,15.20,J. Gibbs RB - DET ,37.00,C. Olave WR - NO IA ,6.00,G. Pickens WR - DAL View News ,8.70,J. Ferguson TE - DAL ,10.80,B. Irving RB - TB ,16.10,J. Myers K - SEA ,13.00,Eagles DEF ,13.00,G. Kittle TE - SF ,0.00,D. London WR - ATL ,0.00,C. Watson WR - GB ,24.90,T. McMillan WR - CAR ,0.00,Texans DEF ,12.00,-,-,-,-,157.64,Howard,95.86
Todd,6,J. Brissett QB - ARI ,19.04,A. Jones RB - MIN IA ,7.60,C. Brown RB - CIN ,18.50,N. Collins WR - HOU IA ,16.10,M. Wilson WR - ARI ,37.20,H. Fannin TE - CLE IA ,25.40,L. McConkey WR - LAC ,2.20,B. Aubrey K - DAL ,22.00,Colts DEF ,1.00,C. Sutton WR - DEN ,12.20,J. Burrow QB - CIN ,23.36,J. Hurts QB - PHI ,0.40,J. Jennings WR - SF ,0.00,O. Hampton RB - LAC IA ,14.70,T. Johnson WR - TB ,0.00,-,-,149.04,Ulises,99.96
Ulises,3,J. Herbert QB - LAC IA ,12.16,J. Williams RB - DAL IR ,14.70,B. Robinson RB - ATL ,9.40,D. Smith WR - PHI ,7.70,J. Smith-Njigba WR - SEA ,28.10,D. Waller TE - MIA IR ,2.70,D. Swift RB - CHI ,11.20,H. Butker K - KC ,4.00,Jaguars DEF ,10.00,D. Schultz TE - HOU ,5.20,D. Samuel WR - WAS ,6.70,R. Stevenson RB - NE ,0.00,T. Allgeier RB - ATL ,8.70,B. Purdy QB - SF Q ,0.00,J. Mason RB - MIN ,11.20,-,-,99.96,Todd,149.04
