Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,3,L. Jackson QB - BAL ,25.56,J. Jacobs RB - GB IA ,20.00,C. Brown RB - CIN ,19.20,J. Jefferson WR - MIN ,16.70,N. Collins WR - HOU IA ,14.50,T. McBride TE - ARI ,16.50,B. Thomas WR - JAX ,8.50,C. Boswell K - PIT ,9.00,Jaguars DEF ,3.00,A. Jones RB - MIN IA ,11.80,M. Andrews TE - BAL ,16.60,J. Meyers WR - JAX ,6.30,J. Love QB - GB ,9.02,R. Harvey RB - DEN ,16.60,T. Henderson RB - NE ,12.70,B. Aiyuk WR ,0.00,132.96,Ulises,114.80
Joshua,9,M. Stafford QB - LAR ,26.84,J. Dobbins RB - DEN IR ,6.90,K. Walker RB - SEA ,8.10,J. Addison WR - MIN ,8.40,R. Odunze WR - CHI IA ,0.00,O. Gadsden TE - LAC ,11.80,D. Moore WR - CHI ,22.98,C. Dicker K - LAC ,11.00,Texans DEF ,6.00,Z. Ertz TE - WAS IR ,8.60,S. Barkley RB - PHI ,0.00,D. Kincaid TE - BUF ,22.10,B. Nix QB - DEN ,18.52,Q. Judkins RB - CLE IR View News ,0.00,E. Egbuka WR - TB ,0.00,-,-,102.02,Sean,112.52
Justin,5,D. Jones QB - IND IR ,14.08,J. Taylor RB - IND ,7.70,K. Williams RB - LAR ,17.40,D. Metcalf WR - PIT SUS ,2.60,M. Pittman WR - IND ,20.50,T. Kelce TE - KC ,12.60,X. Worthy WR - KC IA ,6.00,J. Myers K - SEA ,8.00,Seahawks DEF ,9.00,H. Henry TE - NE ,9.10,K. Hunt RB - KC ,12.50,S. Darnold QB - SEA ,27.20,A. Brown WR - PHI ,0.00,G. Wilson WR - NYJ IR ,0.00,C. McLaughlin K - TB ,0.00,T. Hunter WR - JAX IR ,0.00,97.88,Todd,79.14
Luke,4,D. Prescott QB - DAL ,15.40,J. Cook RB - BUF ,13.50,A. Jeanty RB - LV ,19.90,C. Lamb WR - DAL ,15.50,P. Nacua WR - LAR ,22.80,B. Bowers TE - LV IR ,43.30,K. Vidal RB - LAC ,3.00,H. Butker K - KC ,7.00,Chargers DEF ,5.00,T. Higgins WR - CIN ,33.10,K. Pitts TE - ATL ,7.80,Z. Flowers WR - BAL ,11.40,Q. Johnston WR - LAC ,15.30,C. Williams QB - CHI ,38.70,M. Golden WR - GB ,2.90,T. Benson RB - ARI IR ,0.00,145.40,Aiden,115.60
Matthew,1,J. Daniels QB - WAS IA ,15.22,D. Henry RB - BAL ,13.10,C. McCaffrey RB - SF ,34.30,A. St. Brown WR - DET ,18.70,R. Rice WR - KC IR ,18.60,S. LaPorta TE - DET IR ,21.70,J. Chase WR - CIN ,17.10,K. Fairbairn K - HOU ,15.00,Rams DEF ,9.00,B. Mayfield QB - TB ,0.00,T. Etienne RB - JAX ,16.50,B. Knight RB - ARI IR ,6.70,T. Franklin WR - DEN ,8.30,J. Croskey-Merritt RB - WAS ,5.10,Chiefs DEF ,2.00,-,-,162.72,Howard,84.56
Aiden,8,P. Mahomes QB - KC IR ,10.50,D. Montgomery RB - DET ,11.00,R. Dowdle RB - CAR ,28.10,K. Allen WR - LAC ,6.10,J. Waddle WR - MIA IA ,14.20,J. Johnson TE - NO ,12.10,M. Harrison WR - ARI IR ,22.60,J. Bates K - DET ,6.00,Broncos DEF ,5.00,J. Goff QB - DET ,19.36,D. Goedert TE - PHI IA ,0.00,C. Hubbard RB - CAR ,1.70,W. Robinson WR - NYG IR ,13.60,R. White RB - TB ,0.00,T. Tucker WR - LV ,6.80,-,-,115.60,Luke,145.40
Howard,10,D. Maye QB - NE ,16.36,A. Kamara RB - NO IA ,0.70,T. Pollard RB - TEN ,7.80,D. Adams WR - LAR IA ,23.00,S. Diggs WR - NE ,12.80,T. Warren TE - IND ,7.60,K. Shakir WR - BUF ,11.30,T. Loop K - BAL ,4.00,Patriots DEF ,1.00,C. Kupp WR - SEA ,0.00,R. Doubs WR - GB ,16.10,B. Hall RB - NYJ IA ,0.00,Z. Charbonnet RB - SEA ,5.60,T. Tracy RB - NYG ,6.70,N. Folk K - NYJ ,0.00,-,-,84.56,Matthew,162.72
Sean,6,J. Allen QB - BUF ,28.82,J. Gibbs RB - DET ,5.80,K. Monangai RB - CHI ,22.80,C. Olave WR - NO IA ,8.70,C. Dike WR - TEN ,7.50,J. Ferguson TE - DAL ,8.00,G. Pickens WR - DAL View News ,13.90,E. Pineiro K - SF ,12.00,Colts DEF ,5.00,G. Kittle TE - SF ,6.90,D. London WR - ATL ,38.80,J. Warren RB - PIT ,16.90,K. Boutte WR - NE ,0.00,B. Irving RB - TB ,0.00,T. McMillan WR - CAR ,8.60,-,-,112.52,Joshua,102.02
Todd,7,J. Dart QB - NYG ,27.24,D. Achane RB - MIA IA ,16.60,W. Marks RB - HOU ,2.70,C. Sutton WR - DEN ,10.00,L. McCaffrey WR - WAS IR ,0.00,T. Kraft TE - GB IR ,4.00,L. McConkey WR - LAC ,9.60,B. Aubrey K - DAL ,5.00,Packers DEF ,4.00,T. McLaurin WR - WAS ,0.00,J. Hurts QB - PHI ,0.00,R. Pearsall WR - SF IA ,0.00,H. Fannin TE - CLE IA ,0.00,T. Johnson WR - TB ,0.00,O. Hampton RB - LAC IA ,0.00,-,-,79.14,Justin,97.88
Ulises,2,J. Herbert QB - LAC IA ,27.70,J. Williams RB - DAL IR ,7.30,B. Robinson RB - ATL ,17.60,D. Samuel WR - WAS ,9.40,J. Smith-Njigba WR - SEA ,22.00,T. Hockenson TE - MIN IA ,9.10,J. Mason RB - MIN ,4.70,E. McPherson K - CIN ,10.00,Lions DEF ,7.00,C. Ridley WR - TEN IR ,0.00,D. Schultz TE - HOU ,13.70,K. Murray QB - ARI IR ,0.00,D. Swift RB - CHI ,0.00,R. Stevenson RB - NE ,0.00,D. Smith WR - PHI ,0.00,D. Waller TE - MIA IR ,0.00,114.80,Alex,132.96
