Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,2,L. Jackson QB - BAL ,6.54,J. Jacobs RB - GB IA ,10.10,D. Achane RB - MIA IA ,19.40,J. Jefferson WR - MIN ,2.40,K. Shakir WR - BUF ,1.50,T. McBride TE - ARI ,22.20,T. Henderson RB - NE ,11.60,C. Boswell K - PIT ,1.00,Chargers DEF ,8.00,T. Lockett WR - LV ,2.10,J. Meyers WR - JAX ,21.30,J. Love QB - GB ,25.76,B. Knight RB - ARI IR ,16.80,B. Thomas WR - JAX ,4.80,D. Neal RB - NO IR ,9.90,B. Aiyuk WR ,0.00,82.74,Howard,120.08
Joshua,9,B. Nix QB - DEN ,16.44,S. Barkley RB - PHI ,5.60,Q. Judkins RB - CLE IR View News ,15.90,R. Odunze WR - CHI IA ,2.80,E. Egbuka WR - TB ,8.20,O. Gadsden TE - LAC ,3.70,K. Walker RB - SEA ,10.40,C. Dicker K - LAC ,9.00,Texans DEF ,2.00,M. Stafford QB - LAR ,11.62,Z. Ertz TE - WAS IR ,20.60,D. Moore WR - CHI ,4.70,D. Kincaid TE - BUF ,0.00,J. Addison WR - MIN ,8.60,T. Johnson TE - NYG IA ,5.90,J. Dobbins RB - DEN IR ,0.00,74.04,Luke,117.70
Justin,4,J. Dart QB - NYG ,13.56,J. Taylor RB - IND ,15.10,K. Williams RB - LAR ,13.20,A. Brown WR - PHI ,35.20,M. Pittman WR - IND ,2.30,T. Kelce TE - KC ,15.50,D. Metcalf WR - PIT SUS ,6.20,C. McLaughlin K - TB ,10.00,Seahawks DEF ,30.00,K. Hunt RB - KC ,9.00,D. Jones QB - IND IR ,16.14,J. Johnson TE - NO ,8.90,K. Gainwell RB - PIT ,6.50,J. Williams WR - DET ,26.90,X. Worthy WR - KC IA ,11.40,G. Wilson WR - NYJ IR ,0.00,141.06,Matthew,109.96
Luke,6,D. Prescott QB - DAL ,20.60,J. Cook RB - BUF ,18.70,A. Jeanty RB - LV ,12.10,C. Lamb WR - DAL ,24.20,P. Nacua WR - LAR ,13.20,B. Bowers TE - LV IR ,22.30,Z. Flowers WR - BAL ,0.60,C. Little K - JAX ,5.00,Browns DEF ,1.00,T. Higgins WR - CIN ,0.00,K. Pitts TE - ATL ,15.20,Q. Johnston WR - LAC ,11.30,C. Williams QB - CHI ,9.46,K. Vidal RB - LAC ,20.70,M. Golden WR - GB ,0.00,T. Benson RB - ARI IR ,0.00,117.70,Joshua,74.04
Matthew,5,B. Mayfield QB - TB ,14.46,D. Henry RB - BAL ,17.40,C. McCaffrey RB - SF ,17.40,J. Chase WR - CIN ,18.00,A. St. Brown WR - DET ,0.00,H. Henry TE - NE ,11.30,R. Rice WR - KC IR ,29.40,W. Reichard K - MIN ,0.00,Rams DEF ,2.00,T. Etienne RB - JAX ,5.10,T. Lawrence QB - JAX ,21.66,A. Pierce WR - IND ,17.80,T. Franklin WR - DEN ,4.10,T. Tracy RB - NYG ,4.30,J. Daniels QB - WAS IA ,0.00,S. LaPorta TE - DET IR ,0.00,109.96,Justin,141.06
Aiden,8,P. Mahomes QB - KC IR ,29.44,D. Montgomery RB - DET ,12.80,R. Dowdle RB - CAR ,9.90,J. Waddle WR - MIA IA ,7.00,W. Robinson WR - NYG IR ,10.40,D. Goedert TE - PHI IA ,4.70,K. Allen WR - LAC ,7.00,J. Bates K - DET ,6.00,Broncos DEF ,4.00,J. Goff QB - DET ,20.64,R. White RB - TB ,5.90,J. Downs WR - IND ,6.40,T. Tucker WR - LV ,5.00,M. Harrison WR - ARI IR ,12.90,Colts DEF ,5.00,-,-,91.24,Ulises,115.84
Howard,10,D. Maye QB - NE ,20.48,B. Hall RB - NYJ IA ,15.60,R. Harvey RB - DEN ,21.20,D. Adams WR - LAR IA ,21.80,S. Diggs WR - NE ,5.60,T. Warren TE - IND ,11.20,Z. Charbonnet RB - SEA ,11.20,T. Loop K - BAL ,2.00,Patriots DEF ,11.00,C. Kupp WR - SEA ,5.40,A. Kamara RB - NO IA ,0.00,M. Andrews TE - BAL ,8.70,T. Pollard RB - TEN ,5.30,R. Doubs WR - GB ,12.00,W. Marks RB - HOU ,7.70,-,-,120.08,Alex,82.74
Sean,3,J. Allen QB - BUF ,16.72,J. Warren RB - PIT ,12.40,J. Gibbs RB - DET ,11.60,P. Washington WR - JAX ,3.60,T. McMillan WR - CAR ,11.30,G. Kittle TE - SF ,10.70,G. Pickens WR - DAL View News ,16.80,J. Myers K - SEA ,18.00,Eagles DEF ,4.00,D. London WR - ATL ,0.00,J. Ferguson TE - DAL ,8.60,C. Olave WR - NO IA ,14.70,B. Irving RB - TB ,16.10,C. Dike WR - TEN ,-0.10,Steelers DEF ,5.00,-,-,105.12,Todd,105.70
Todd,7,J. Hurts QB - PHI ,16.30,A. Jones RB - MIN IA ,4.50,C. Brown RB - CIN ,18.30,C. Sutton WR - DEN ,17.20,N. Collins WR - HOU IA ,21.50,H. Fannin TE - CLE IA ,11.30,M. Wilson WR - ARI ,6.60,B. Aubrey K - DAL ,11.00,Lions DEF ,-1.00,J. Brissett QB - ARI ,19.64,J. Burrow QB - CIN ,19.24,J. Jennings WR - SF ,13.90,L. McConkey WR - LAC ,13.90,O. Hampton RB - LAC IA ,0.00,T. Johnson WR - TB ,1.50,-,-,105.70,Sean,105.12
Ulises,1,J. Herbert QB - LAC IA ,12.84,J. Williams RB - DAL IR ,17.00,B. Robinson RB - ATL ,30.30,D. Smith WR - PHI ,9.80,J. Smith-Njigba WR - SEA ,4.30,D. Schultz TE - HOU ,12.50,D. Samuel WR - WAS ,11.10,H. Butker K - KC ,4.00,Jaguars DEF ,14.00,T. Hockenson TE - MIN IA ,11.90,D. Swift RB - CHI ,20.80,R. Stevenson RB - NE ,11.00,T. Allgeier RB - ATL ,13.50,B. Purdy QB - SF Q ,17.12,J. Mason RB - MIN ,5.80,D. Waller TE - MIA IR ,6.70,115.84,Aiden,91.24
