Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,1,L. Jackson QB - BAL ,4.72,J. Jacobs RB - GB IA ,4.00,D. Achane RB - MIA IA ,21.50,J. Jefferson WR - MIN ,11.10,K. Shakir WR - BUF ,0.70,T. McBride TE - ARI ,27.50,T. Henderson RB - NE ,32.30,C. Boswell K - PIT ,10.00,Ravens DEF ,9.00,T. Lockett WR - LV ,6.30,J. Meyers WR - JAX ,11.40,J. Love QB - GB ,17.66,B. Knight RB - ARI IR ,14.50,E. Demercado RB - ARI ,4.00,B. Thomas WR - JAX ,0.00,B. Aiyuk WR ,0.00,120.82,Todd,102.80
Joshua,9,B. Nix QB - DEN ,12.60,S. Barkley RB - PHI ,10.00,Q. Judkins RB - CLE IR View News ,5.90,R. Odunze WR - CHI IA ,6.10,E. Egbuka WR - TB ,9.00,O. Gadsden TE - LAC ,6.10,J. Addison WR - MIN ,10.00,C. Dicker K - LAC ,6.00,Texans DEF ,9.00,M. Stafford QB - LAR ,13.20,Z. Ertz TE - WAS IR ,8.20,D. Moore WR - CHI ,3.10,K. Walker RB - SEA ,20.10,D. Kincaid TE - BUF ,0.00,M. Washington WR - MIA Q ,7.20,J. Dobbins RB - DEN IR ,0.00,74.70,Aiden,77.04
Justin,4,J. Flacco QB - CIN ,9.86,K. Hunt RB - KC ,13.20,K. Williams RB - LAR ,16.60,D. Metcalf WR - PIT SUS ,9.90,R. Pearsall WR - SF IA ,1.00,T. Kelce TE - KC ,24.10,J. Williams WR - DET ,19.70,C. McLaughlin K - TB ,8.00,Seahawks DEF ,2.00,H. Henry TE - NE ,8.50,A. Brown WR - PHI ,11.90,D. Jones QB - IND IR ,0.00,M. Pittman WR - IND ,0.00,J. Taylor RB - IND ,0.00,X. Worthy WR - KC IA ,5.50,G. Wilson WR - NYJ IR ,0.00,104.36,Howard,93.54
Luke,6,D. Prescott QB - DAL ,24.32,J. Cook RB - BUF ,20.40,A. Jeanty RB - LV ,9.40,C. Lamb WR - DAL ,17.60,P. Nacua WR - LAR ,14.30,B. Bowers TE - LV IR ,14.20,T. Higgins WR - CIN ,15.30,C. Little K - JAX ,5.00,Chiefs DEF ,2.00,K. Pitts TE - ATL ,3.40,Z. Flowers WR - BAL ,11.30,Q. Johnston WR - LAC ,0.00,C. Williams QB - CHI ,10.32,K. Vidal RB - LAC ,3.20,M. Golden WR - GB ,3.40,T. Benson RB - ARI IR ,0.00,122.52,Matthew,103.90
Matthew,5,J. McCarthy QB - MIN Q ,6.00,D. Henry RB - BAL ,20.20,C. McCaffrey RB - SF ,35.10,J. Chase WR - CIN ,6.00,A. St. Brown WR - DET ,6.20,T. Johnson TE - NYG IA ,6.60,R. Rice WR - KC IR ,9.80,W. Reichard K - MIN ,5.00,Rams DEF ,9.00,B. Mayfield QB - TB ,16.82,T. Etienne RB - JAX ,19.30,T. Franklin WR - DEN ,12.40,T. Tracy RB - NYG ,17.90,J. Daniels QB - WAS IA ,0.00,J. Croskey-Merritt RB - WAS ,4.30,S. LaPorta TE - DET IR ,0.00,103.90,Luke,122.52
Aiden,8,P. Mahomes QB - KC IR ,13.34,R. Dowdle RB - CAR ,15.00,R. White RB - TB ,8.20,J. Waddle WR - MIA IA ,8.20,W. Robinson WR - NYG IR ,7.60,D. Goedert TE - PHI IA ,4.40,K. Allen WR - LAC ,9.30,J. Bates K - DET ,5.00,Broncos DEF ,6.00,J. Goff QB - DET ,12.10,D. Montgomery RB - DET ,4.70,J. Johnson TE - NO ,0.00,C. Hubbard RB - CAR ,3.80,T. Tucker WR - LV ,14.70,M. Harrison WR - ARI IR ,0.00,-,-,77.04,Joshua,74.70
Howard,10,D. Maye QB - NE ,15.44,B. Hall RB - NYJ IA ,8.40,W. Marks RB - HOU ,6.10,D. Adams WR - LAR IA ,7.10,S. Diggs WR - NE ,19.50,M. Andrews TE - BAL ,15.70,C. Kupp WR - SEA ,5.30,T. Loop K - BAL ,11.00,Patriots DEF ,5.00,A. Kamara RB - NO IA ,0.00,T. Pollard RB - TEN ,5.60,R. Doubs WR - GB ,9.30,Z. Charbonnet RB - SEA ,6.70,R. Harvey RB - DEN ,8.00,T. Warren TE - IND ,0.00,-,-,93.54,Justin,104.36
Sean,3,J. Allen QB - BUF ,42.68,J. Warren RB - PIT ,8.70,J. Gibbs RB - DET ,19.60,D. London WR - ATL ,18.90,G. Pickens WR - DAL View News ,29.40,G. Kittle TE - SF ,24.70,J. Jeudy WR - CLE ,5.10,J. Myers K - SEA ,15.00,Steelers DEF ,21.00,J. Ferguson TE - DAL ,11.60,C. Olave WR - NO IA ,0.00,P. Washington WR - JAX ,4.00,B. Irving RB - TB ,0.00,T. McMillan WR - CAR ,33.00,-,-,-,-,185.08,Ulises,98.44
Todd,7,J. Hurts QB - PHI ,14.50,A. Jones RB - MIN IA ,11.10,C. Brown RB - CIN ,18.70,J. Jennings WR - SF ,9.40,N. Collins WR - HOU IA ,24.20,H. Fannin TE - CLE IA ,4.60,L. McConkey WR - LAC ,4.30,B. Aubrey K - DAL ,9.00,Packers DEF ,7.00,C. Sutton WR - DEN ,9.90,J. Burrow QB - CIN ,0.00,R. Shaheed WR - SEA ,4.90,C. Loveland TE - CHI ,7.00,T. Johnson WR - TB ,1.60,Bills DEF ,4.00,O. Hampton RB - LAC IA ,0.00,102.80,Alex,120.82
Ulises,2,J. Herbert QB - LAC IA ,3.34,J. Williams RB - DAL IR ,10.30,B. Robinson RB - ATL ,30.30,D. Smith WR - PHI ,1.80,J. Smith-Njigba WR - SEA ,20.60,D. Schultz TE - HOU ,11.10,D. Swift RB - CHI ,9.00,M. Prater K - BUF Q ,8.00,Falcons DEF ,4.00,C. Ridley WR - TEN IR ,2.30,T. Hockenson TE - MIN IA ,6.90,D. Samuel WR - WAS ,20.70,R. Stevenson RB - NE ,0.00,T. Allgeier RB - ATL ,9.60,J. Mason RB - MIN ,10.50,D. Waller TE - MIA IR ,0.00,98.44,Sean,185.08
