Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,3,K. Cousins QB - ATL ,7.12,J. Jacobs RB - GB IA ,13.50,C. Brown RB - CIN ,25.50,D. Mooney WR - ATL ,2.10,J. Jefferson WR - MIN ,14.40,M. Andrews TE - BAL ,6.40,R. Harvey RB - DEN ,24.10,C. Boswell K - PIT ,19.00,Falcons DEF ,0.00,A. Jones RB - MIN IA ,5.00,L. Jackson QB - BAL ,0.00,N. Collins WR - HOU IA ,0.00,T. McBride TE - ARI ,0.00,B. Thomas WR - JAX ,0.00,T. Henderson RB - NE ,5.50,B. Aiyuk WR ,0.00,112.12,Sean,86.52
Joshua,9,B. Nix QB - DEN ,23.78,Q. Judkins RB - CLE IR View News ,4.70,J. Croskey-Merritt RB - WAS ,2.50,J. Chase WR - CIN ,21.10,R. Odunze WR - CHI IA ,18.40,O. Gadsden TE - LAC ,18.70,D. Moore WR - CHI ,11.60,C. Dicker K - LAC ,13.00,49ers DEF ,2.00,M. Stafford QB - LAR ,0.00,Z. Ertz TE - WAS IR ,5.60,N. Chubb RB - HOU IA ,8.90,T. Etienne RB - JAX ,0.00,K. Walker RB - SEA ,0.00,D. Kincaid TE - BUF ,3.30,-,-,115.78,Matthew,126.68
Justin,6,D. Jones QB - IND IR ,23.18,J. Taylor RB - IND ,37.40,C. Skattebo RB - NYG IR ,10.00,D. Metcalf WR - PIT SUS ,16.50,M. Pittman WR - IND ,23.50,T. Kelce TE - KC ,21.90,I. Pacheco RB - KC IA ,5.80,C. McLaughlin K - TB ,17.00,Steelers DEF ,-4.00,H. Henry TE - NE ,7.70,S. Darnold QB - SEA ,0.00,A. Brown WR - PHI ,0.00,K. Williams RB - LAR ,0.00,G. Wilson WR - NYJ IR ,0.00,T. Hunter WR - JAX IR ,0.00,-,-,151.28,Ulises,121.08
Luke,5,D. Prescott QB - DAL ,6.62,J. Cook RB - BUF ,33.60,K. Vidal RB - LAC ,19.70,C. Lamb WR - DAL ,14.60,Z. Flowers WR - BAL ,14.10,K. Pitts TE - ATL ,14.90,T. Higgins WR - CIN ,11.40,H. Butker K - KC ,4.00,Eagles DEF ,6.00,K. Bourne WR - SF ,7.40,P. Nacua WR - LAR ,0.00,Q. Johnston WR - LAC ,0.00,B. Bowers TE - LV IR ,0.00,M. Golden WR - GB ,3.40,A. Jeanty RB - LV ,0.00,T. Benson RB - ARI IR ,0.00,124.92,Howard,123.04
Matthew,2,B. Mayfield QB - TB ,4.08,D. Henry RB - BAL ,19.10,C. McCaffrey RB - SF ,9.80,R. Rice WR - KC IR ,25.50,E. Egbuka WR - TB ,6.50,J. Johnson TE - NO ,10.30,S. Barkley RB - PHI ,33.40,M. Wright K - BUF ,1.00,Bills DEF ,17.00,J. Dobbins RB - DEN IR ,14.10,A. St. Brown WR - DET ,0.00,S. LaPorta TE - DET IR ,0.00,J. Addison WR - MIN ,11.60,C. Williams QB - CHI ,11.80,Chiefs DEF ,10.00,-,-,126.68,Joshua,115.78
Aiden,8,P. Mahomes QB - KC IR ,22.96,R. Dowdle RB - CAR ,5.40,R. White RB - TB ,8.10,K. Allen WR - LAC ,8.40,J. Waddle WR - MIA IA ,20.90,D. Goedert TE - PHI IA ,17.80,W. Robinson WR - NYG IR ,7.80,W. Reichard K - MIN ,6.00,Broncos DEF ,6.00,J. Goff QB - DET ,0.00,D. Montgomery RB - DET ,0.00,C. Hubbard RB - CAR ,9.40,T. Tucker WR - LV ,0.00,M. Harrison WR - ARI IR ,0.00,J. Bates K - DET ,0.00,-,-,103.36,Todd,139.72
Howard,10,D. Maye QB - NE ,26.28,A. Kamara RB - NO IA ,6.50,T. Pollard RB - TEN ,6.30,S. Diggs WR - NE ,10.40,R. Doubs WR - GB ,9.40,T. Warren TE - IND ,9.30,B. Hall RB - NYJ IA ,32.86,N. Folk K - NYJ ,11.00,Patriots DEF ,11.00,D. Adams WR - LAR IA ,0.00,C. Kupp WR - SEA ,0.00,P. Freiermuth TE - PIT ,4.30,K. Shakir WR - BUF ,20.80,Z. Charbonnet RB - SEA ,0.00,T. Tracy RB - NYG ,7.30,-,-,123.04,Luke,124.92
Sean,7,J. Allen QB - BUF ,23.22,J. Warren RB - PIT ,9.30,B. Smith RB - KC ,0.80,C. Olave WR - NO IA ,14.00,C. Dike WR - TEN ,16.40,J. Ferguson TE - DAL ,0.00,G. Pickens WR - DAL View News ,14.80,E. Pineiro K - SF ,1.00,Colts DEF ,7.00,G. Kittle TE - SF ,14.30,D. London WR - ATL ,0.00,J. Gibbs RB - DET ,0.00,X. Worthy WR - KC IA ,10.30,B. Irving RB - TB ,0.00,T. McMillan WR - CAR ,16.90,-,-,86.52,Alex,112.12
Todd,4,J. Dart QB - NYG ,19.42,D. Achane RB - MIA IA ,20.10,W. Marks RB - HOU ,15.10,C. Sutton WR - DEN ,10.70,T. Johnson WR - TB ,9.30,T. Kraft TE - GB IR ,33.30,L. McConkey WR - LAC ,20.80,B. Aubrey K - DAL ,6.00,Packers DEF ,5.00,T. McLaurin WR - WAS ,14.40,J. Hurts QB - PHI ,25.36,R. Shaheed WR - SEA ,14.50,R. Pearsall WR - SF IA ,0.00,H. Fannin TE - CLE IA ,18.40,O. Hampton RB - LAC IA ,0.00,J. Mixon RB - HOU NFI-R ,0.00,139.72,Aiden,103.36
Ulises,1,J. Herbert QB - LAC IA ,25.28,J. Williams RB - DAL IR ,17.90,B. Robinson RB - ATL ,5.80,D. Samuel WR - WAS ,4.20,D. Smith WR - PHI ,14.40,D. Schultz TE - HOU ,4.40,D. Swift RB - CHI ,15.10,E. McPherson K - CIN ,8.00,Buccaneers DEF ,26.00,C. Ridley WR - TEN IR ,0.00,T. Hockenson TE - MIN IA ,4.60,K. Murray QB - ARI IR ,0.00,R. Stevenson RB - NE ,5.90,J. Mason RB - MIN ,1.60,J. Smith-Njigba WR - SEA ,0.00,D. Waller TE - MIA IR ,0.00,121.08,Justin,151.28
