Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,4,J. Allen QB - BUF ,28.42,K. Williams RB - LAR ,18.30,J. Gibbs RB - DET ,10.40,M. Evans WR - TB ,25.80,C. Kupp WR - SEA ,4.70,T. McBride TE - ARI ,21.60,J. Jacobs RB - GB ,21.70,J. Sanders K - MIA ,3.00,Texans DEF ,3.00,J. Smith TE - MIA ,21.30,J. Herbert QB - LAC ,7.98,D. London WR - ATL ,17.30,D. Kincaid TE - BUF ,0.00,T. Dell WR - HOU Q ,3.30,J. Brooks RB - CAR PUP ,7.10,I. Pacheco RB - KC ,5.90,136.92,Howard,124.50
Joshua,8,P. Mahomes QB - KC ,16.64,J. Cook RB - BUF ,19.00,D. Achane RB - MIA ,21.00,T. McLaurin WR - WAS ,27.30,G. Wilson WR - NYJ ,9.10,T. Hockenson TE - MIN ,5.80,A. Cooper WR - BUF ,4.20,J. Tucker K - BAL ,9.00,Chiefs DEF ,6.00,J. Meyers WR - LV ,15.70,D. Samuel WR - WAS ,4.00,J. Burrow QB - CIN ,19.26,K. Pitts TE - ATL ,0.00,J. Williams RB - DAL ,7.40,D. Smith WR - PHI ,0.00,-,-,118.04,Sean,161.08
Justin,2,B. Mayfield QB - TB ,10.20,A. Kamara RB - NO Q ,15.90,S. Barkley RB - PHI ,19.70,C. Sutton WR - DEN ,16.20,C. Lamb WR - DAL ,5.90,T. Kelce TE - KC ,13.80,D. Adams WR - LAR ,17.60,K. Fairbairn K - HOU ,13.00,Steelers DEF ,15.00,T. Pollard RB - TEN ,8.80,R. Stevenson RB - NE ,12.40,P. Freiermuth TE - PIT ,18.80,N. Harris RB - LAC ,24.90,B. Nix QB - DEN ,12.16,B. Thomas WR - JAX ,18.70,A. Lazard WR - NYJ ,0.00,127.30,Luke,115.82
Luke,6,J. Hurts QB - PHI ,17.62,J. Conner RB - ARI Q ,11.10,A. Jones RB - MIN ,9.80,N. Collins WR - HOU ,19.90,P. Nacua WR - LAR ,17.30,T. Kraft TE - GB ,13.80,A. St. Brown WR - DET ,12.30,C. Dicker K - LAC ,11.00,Buccaneers DEF ,3.00,N. Chubb RB - CLE Q ,12.50,G. Edwards RB - LAC ,4.30,J. Love QB - GB ,18.96,K. Shakir WR - BUF ,7.00,Z. Flowers WR - BAL Q ,10.10,J. Reed WR - GB Q ,19.70,J. Dobbins RB - LAC ,0.00,115.82,Justin,127.30
Matthew,3,G. Smith QB - LV ,12.44,J. Mixon RB - HOU ,21.90,D. Montgomery RB - DET ,15.40,T. Hill WR - MIA Q ,20.30,J. Jefferson WR - MIN ,16.90,S. LaPorta TE - DET ,15.60,C. McCaffrey RB - SF ,8.70,J. Bates K - DET ,11.00,Broncos DEF ,20.00,E. Engram TE - DEN Q ,11.10,J. Jennings WR - SF ,8.60,B. Purdy QB - SF ,2.16,R. White RB - TB ,8.80,J. Smith-Njigba WR - SEA ,11.90,Bills DEF ,12.00,C. Olave WR - NO Q ,0.00,142.24,Aiden,114.20
Aiden,7,S. Darnold QB - SEA ,19.60,C. Hubbard RB - CAR ,2.30,K. Walker RB - SEA Q ,6.60,A. Brown WR - PHI ,11.60,J. Chase WR - CIN ,20.60,Z. Ertz TE - WAS ,12.50,C. Brown RB - CIN Q ,19.00,C. Boswell K - PIT ,16.00,Lions DEF ,6.00,D. Njoku TE - CLE Q ,26.20,D. Metcalf WR - PIT ,10.60,B. Robinson RB - WAS ,17.90,T. Tracy RB - NYG ,14.50,M. Harrison WR - ARI ,17.00,A. Ekeler RB - WAS ,0.00,-,-,114.20,Matthew,142.24
Howard,5,K. Murray QB - ARI ,15.20,D. Henry RB - BAL ,14.10,K. Hunt RB - KC ,3.50,C. Ridley WR - TEN ,6.50,M. Nabers WR - NYG ,15.30,B. Bowers TE - LV ,30.20,D. Moore WR - CHI ,23.70,W. Lutz K - DEN ,11.00,Vikings DEF ,5.00,M. Andrews TE - BAL ,18.90,D. Johnson WR - CLE ,0.00,D. Swift RB - CHI ,9.40,R. Dowdle RB - CAR ,21.30,J. Downs WR - IND ,0.00,J. Daniels QB - WAS ,27.64,-,-,124.50,Alex,136.92
Sean,1,L. Jackson QB - BAL ,25.38,B. Robinson RB - ATL ,25.50,B. Irving RB - TB ,27.50,T. Higgins WR - CIN ,17.90,G. Pickens WR - DAL ,16.40,G. Kittle TE - SF ,1.70,L. McConkey WR - LAC ,20.70,B. Aubrey K - DAL Q ,9.00,Cowboys DEF ,17.00,D. Hopkins WR - BAL ,13.00,D. Mooney WR - ATL Q ,5.00,J. Jeudy WR - CLE ,40.50,J. Taylor RB - IND ,17.30,B. Hall RB - NYJ ,6.00,C. Otton TE - TB ,6.00,-,-,161.08,Joshua,118.04
