Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,5,J. Allen QB - BUF ,30.92,J. Conner RB - ARI Q ,3.50,K. Williams RB - LAR ,31.60,T. Hill WR - MIA Q ,7.00,Z. Flowers WR - BAL Q ,5.30,D. Kincaid TE - BUF ,13.10,J. Jacobs RB - GB ,5.80,J. Moody K - SF ,6.00,Jets DEF ,16.00,D. Robinson WR - SF ,4.20,C. Kupp WR - SEA ,0.00,J. Williams RB - DAL ,6.10,G. Pickens WR - DAL ,10.70,R. Shaheed WR - NO Q ,0.00,J. Brooks RB - CAR PUP ,0.00,N. Chubb RB - CLE Q ,0.00,119.22,Matthew,161.58
Joshua,1,J. Burrow QB - CIN ,25.36,J. Cook RB - BUF ,18.70,D. Achane RB - MIA ,8.80,J. Jefferson WR - MIN ,20.10,D. Smith WR - PHI ,14.90,K. Pitts TE - ATL ,7.90,A. Cooper WR - BUF ,27.60,J. Tucker K - BAL ,4.00,Bengals DEF ,-2.00,A. Ekeler RB - WAS ,13.70,D. Samuel WR - WAS ,0.00,J. Herbert QB - LAC ,9.00,J. Waddle WR - MIA ,6.60,I. Likely TE - BAL ,1.40,K. Shakir WR - BUF ,19.20,T. Hockenson TE - MIN ,0.00,125.36,Luke,116.24
Justin,2,B. Mayfield QB - TB ,8.52,A. Kamara RB - NO Q ,15.70,S. Barkley RB - PHI ,33.60,D. Adams WR - LAR ,8.00,C. Lamb WR - DAL ,8.70,T. Kelce TE - KC ,7.00,R. Stevenson RB - NE ,0.30,K. Fairbairn K - HOU ,1.00,Steelers DEF ,9.00,A. Lazard WR - NYJ ,13.80,T. Pollard RB - TEN ,5.90,P. Freiermuth TE - PIT ,7.30,C. Olave WR - NO Q ,20.60,C. Stroud QB - HOU ,9.80,B. Thomas WR - JAX ,9.80,-,-,91.82,Sean,125.68
Luke,6,J. Hurts QB - PHI ,10.94,A. Jones RB - MIN ,25.80,J. Dobbins RB - LAC ,8.40,A. St. Brown WR - DET ,20.50,N. Collins WR - HOU ,12.60,S. LaPorta TE - DET ,5.60,D. Metcalf WR - PIT ,20.40,Y. Koo K - ATL Q ,7.00,Ravens DEF ,5.00,J. Goff QB - DET ,14.56,D. Singletary RB - NYG ,18.80,Z. Moss RB - CIN Q ,20.70,D. London WR - ATL ,18.70,I. Pacheco RB - KC ,0.00,J. Reed WR - GB Q ,10.90,P. Nacua WR - LAR ,0.00,116.24,Joshua,125.36
Matthew,3,P. Mahomes QB - KC ,16.38,J. Mason RB - MIN Q ,10.80,Z. Charbonnet RB - SEA ,25.70,G. Wilson WR - NYJ ,14.30,R. Rice WR - KC Q ,29.10,D. Goedert TE - PHI ,27.00,J. Gibbs RB - DET ,16.30,E. McPherson K - CIN Q ,9.00,Bills DEF ,13.00,M. Evans WR - TB ,3.70,J. Mixon RB - HOU ,0.00,T. McLaurin WR - WAS ,20.00,D. Montgomery RB - DET ,21.20,B. Aiyuk WR - SF Q ,9.80,J. Ford RB - CLE ,10.00,C. McCaffrey RB - SF ,0.00,161.58,Alex,119.22
Aiden,8,A. Richardson QB - IND Q ,5.08,T. Etienne RB - JAX ,12.50,B. Robinson RB - WAS ,10.70,C. Ridley WR - TEN ,1.90,J. Chase WR - CIN ,29.80,T. McBride TE - ARI ,5.50,M. Harrison WR - ARI ,17.40,D. Hopkins K - CLE ,1.00,Cowboys DEF ,-1.00,D. Carr QB - NO Q ,7.98,D. Njoku TE - CLE Q ,0.00,C. Kirk WR - HOU Q ,15.90,A. Brown WR - PHI ,0.00,T. Higgins WR - CIN ,6.90,K. Walker RB - SEA Q ,0.00,-,-,82.88,Howard,149.10
Howard,7,K. Murray QB - ARI ,14.78,D. Henry RB - BAL ,30.40,R. White RB - TB ,8.50,S. Diggs WR - NE Q ,19.92,M. Nabers WR - NYG ,28.20,B. Bowers TE - LV ,7.10,D. Moore WR - CHI ,15.20,H. Butker K - KC ,12.00,Vikings DEF ,13.00,R. Mostert RB - LV ,0.00,M. Andrews TE - BAL ,0.00,J. Jeudy WR - CLE ,8.70,D. Swift RB - CHI ,6.20,J. Smith-Njigba WR - SEA ,6.90,J. Daniels QB - WAS ,28.06,-,-,149.10,Aiden,82.88
Sean,4,L. Jackson QB - BAL ,25.98,J. Taylor RB - IND ,26.50,B. Robinson RB - ATL ,13.20,C. Godwin WR - TB Q ,17.30,J. Williams WR - DET ,1.20,B. Strange TE - JAX ,9.20,B. Hall RB - NYJ ,18.30,B. Aubrey K - DAL Q ,11.00,49ers DEF ,3.00,G. Kittle TE - SF ,0.00,N. Harris RB - LAC ,13.60,Q. Johnston WR - LAC ,12.40,X. Worthy WR - KC ,5.00,-,-,-,-,-,-,125.68,Justin,91.82
