Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,8,J. Allen QB - BUF ,7.30,J. Conner RB - ARI Q ,18.30,K. Williams RB - LAR ,20.40,T. Hill WR - MIA Q ,8.20,Z. Flowers WR - BAL Q ,2.00,D. Kincaid TE - BUF ,9.70,J. Jacobs RB - GB ,11.80,J. Moody K - SF ,12.00,Jets DEF ,6.00,C. Kupp WR - SEA ,0.00,A. Ekeler RB - WAS ,0.00,M. Pittman WR - IND ,17.30,J. Waddle WR - MIA ,7.60,G. Pickens WR - DAL ,16.30,J. Brooks RB - CAR PUP ,0.00,N. Chubb RB - CLE Q ,0.00,95.70,Justin,134.40
Joshua,5,J. Burrow QB - CIN ,16.28,J. Cook RB - BUF ,5.80,D. Achane RB - MIA ,5.90,A. Cooper WR - BUF ,7.50,J. Jefferson WR - MIN ,20.50,I. Likely TE - BAL ,3.60,D. Samuel WR - WAS ,10.20,J. Tucker K - BAL ,5.00,Bengals DEF ,2.00,K. Allen WR - CHI ,4.90,J. Herbert QB - LAC ,11.16,K. Pitts TE - ATL ,0.00,J. Williams RB - DAL ,10.00,D. Smith WR - PHI ,0.00,K. Shakir WR - BUF ,10.20,T. Hockenson TE - MIN ,0.00,76.78,Aiden,133.60
Justin,1,C. Stroud QB - HOU ,23.50,A. Kamara RB - NO Q ,24.90,S. Barkley RB - PHI ,13.60,C. Lamb WR - DAL ,23.60,C. Olave WR - NO Q ,16.70,T. Kelce TE - KC ,15.90,R. Stevenson RB - NE ,8.20,K. Fairbairn K - HOU ,6.00,Steelers DEF ,2.00,D. Adams WR - LAR ,0.00,A. Lazard WR - NYJ ,10.80,B. Mayfield QB - TB ,28.88,T. Pollard RB - TEN ,18.80,P. Freiermuth TE - PIT ,16.70,B. Thomas WR - JAX ,21.90,-,-,134.40,Alex,95.70
Luke,7,J. Hurts QB - PHI ,16.32,A. Jones RB - MIN ,17.90,Z. Moss RB - CIN Q ,17.80,A. St. Brown WR - DET ,20.78,N. Collins WR - HOU ,33.10,S. LaPorta TE - DET ,9.30,D. Metcalf WR - PIT ,15.40,Y. Koo K - ATL Q ,18.00,Ravens DEF ,9.00,J. Goff QB - DET ,27.18,D. Singletary RB - NYG ,4.80,J. Dobbins RB - LAC ,9.20,D. London WR - ATL ,12.40,I. Pacheco RB - KC ,0.00,J. Reed WR - GB Q ,27.10,P. Nacua WR - LAR ,0.00,157.60,Howard,160.32
Matthew,4,P. Mahomes QB - KC ,13.00,D. Montgomery RB - DET ,15.00,J. Gibbs RB - DET ,19.80,G. Wilson WR - NYJ ,7.10,R. Rice WR - KC Q ,0.00,D. Goedert TE - PHI ,13.20,J. Mason RB - MIN Q ,24.00,E. McPherson K - CIN Q ,12.00,Bills DEF ,-1.00,M. Evans WR - TB ,23.40,J. Mixon RB - HOU ,0.00,T. McLaurin WR - WAS ,18.20,B. Aiyuk WR - SF Q ,6.80,J. Ford RB - CLE ,15.50,Z. Charbonnet RB - SEA ,10.40,C. McCaffrey RB - SF ,0.00,103.10,Sean,122.34
Aiden,6,S. Darnold QB - SEA ,20.50,T. Etienne RB - JAX ,7.00,B. Robinson RB - WAS ,20.30,J. Chase WR - CIN ,17.50,M. Harrison WR - ARI ,15.50,Z. Ertz TE - WAS ,7.20,K. Walker RB - SEA Q ,33.60,C. Boswell K - PIT ,8.00,Cowboys DEF ,4.00,D. Njoku TE - CLE Q ,0.00,C. Ridley WR - TEN ,2.50,A. Brown WR - PHI ,0.00,T. Higgins WR - CIN ,12.00,T. McBride TE - ARI ,0.00,A. Richardson QB - IND Q ,5.24,-,-,133.60,Joshua,76.78
Howard,3,J. Daniels QB - WAS ,24.02,D. Henry RB - BAL ,35.90,D. Swift RB - CHI ,29.50,S. Diggs WR - NE Q ,18.50,M. Nabers WR - NYG ,23.10,B. Bowers TE - LV ,5.10,D. Moore WR - CHI ,11.20,H. Butker K - KC ,5.00,Vikings DEF ,8.00,R. Mostert RB - LV ,0.00,K. Hunt RB - KC ,10.50,M. Andrews TE - BAL ,0.00,K. Murray QB - ARI ,9.98,D. Johnson WR - CLE ,21.30,R. White RB - TB ,10.40,-,-,160.32,Luke,157.60
Sean,2,L. Jackson QB - BAL ,23.64,C. Hubbard RB - CAR ,22.10,B. Hall RB - NYJ ,3.80,C. Godwin WR - TB Q ,12.90,R. Odunze WR - CHI ,2.00,G. Kittle TE - SF ,14.50,B. Robinson RB - ATL ,11.40,B. Aubrey K - DAL Q ,10.00,49ers DEF ,22.00,J. Taylor RB - IND ,19.80,J. Jennings WR - SF ,11.80,N. Harris RB - LAC ,10.30,J. Williams WR - DET ,16.00,X. Worthy WR - KC ,16.30,-,-,-,-,122.34,Matthew,103.10
