Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,6,J. Allen QB - BUF ,21.02,K. Williams RB - LAR ,19.60,J. Gibbs RB - DET ,32.00,M. Evans WR - TB ,9.50,D. Metcalf WR - PIT ,19.90,D. Kincaid TE - BUF ,8.20,D. London WR - ATL ,18.30,C. McLaughlin K - TB ,5.00,Commanders DEF ,16.00,C. Kupp WR - SEA ,0.00,A. Ekeler RB - WAS ,4.00,J. Jacobs RB - GB ,20.20,B. Aiyuk WR - SF Q ,4.30,T. Kraft TE - GB ,12.30,B. Irving RB - TB ,16.70,J. Brooks RB - CAR PUP ,0.00,149.52,Aiden,113.44
Joshua,8,J. Burrow QB - CIN ,14.94,J. Cook RB - BUF ,9.20,D. Achane RB - MIA ,10.50,A. Cooper WR - BUF ,16.60,D. Smith WR - PHI ,0.80,K. Pitts TE - ATL ,13.50,J. Jefferson WR - MIN ,21.40,J. Tucker K - BAL ,13.00,Bengals DEF ,15.00,A. Rodgers QB - NYJ ,13.04,K. Allen WR - CHI ,0.00,P. Mahomes QB - KC ,12.06,D. Samuel WR - WAS ,0.00,J. Williams RB - DAL ,26.10,C. Brown RB - CIN Q ,7.30,T. Hockenson TE - MIN ,0.00,114.94,Howard,119.24
Justin,3,B. Mayfield QB - TB ,27.00,A. Kamara RB - NO Q ,8.40,S. Barkley RB - PHI ,26.70,D. Adams WR - LAR ,6.00,B. Thomas WR - JAX ,22.10,T. Kelce TE - KC ,5.70,T. Pollard RB - TEN ,8.50,K. Fairbairn K - HOU ,12.00,Steelers DEF ,6.00,A. Lazard WR - NYJ ,9.80,C. Lamb WR - DAL ,0.00,R. Stevenson RB - NE ,4.50,P. Freiermuth TE - PIT ,7.10,N. Harris RB - LAC ,16.20,C. Olave WR - NO Q ,0.00,-,-,122.40,Matthew,105.88
Luke,7,J. Hurts QB - PHI ,22.76,J. Conner RB - ARI Q ,17.20,J. Dobbins RB - LAC ,9.60,A. St. Brown WR - DET ,25.20,J. Reed WR - GB Q ,3.00,S. LaPorta TE - DET ,3.50,Z. Flowers WR - BAL Q ,4.00,Y. Koo K - ATL Q ,2.00,Ravens DEF ,6.00,A. Jones RB - MIN ,20.60,N. Chubb RB - CLE Q ,10.20,C. Kmet TE - CHI ,0.00,J. Love QB - GB ,16.80,N. Collins WR - HOU ,0.00,T. Dell WR - HOU Q ,0.00,P. Nacua WR - LAR ,0.00,93.26,Sean,142.34
Matthew,4,G. Smith QB - LV ,17.78,J. Mixon RB - HOU ,26.40,D. Montgomery RB - DET ,8.00,T. Hill WR - MIA Q ,2.30,T. McLaurin WR - WAS ,15.80,E. Engram TE - DEN Q ,8.50,G. Wilson WR - NYJ ,13.10,E. McPherson K - CIN Q ,3.00,Bills DEF ,11.00,D. Prescott QB - DAL Q ,0.00,D. Goedert TE - PHI ,0.00,D. Johnson WR - CLE ,2.70,M. Pittman WR - IND ,9.30,J. Ferguson TE - DAL ,0.00,J. Mason RB - MIN Q ,8.90,C. McCaffrey RB - SF ,0.00,105.88,Justin,122.40
Aiden,5,C. Stroud QB - HOU ,5.34,K. Walker RB - SEA Q ,23.30,B. Robinson RB - WAS ,13.10,J. Chase WR - CIN ,17.60,M. Harrison WR - ARI ,5.10,T. McBride TE - ARI ,10.10,A. Brown WR - PHI ,19.90,C. Boswell K - PIT ,13.00,Lions DEF ,6.00,Z. Ertz TE - WAS ,14.00,D. Njoku TE - CLE Q ,23.60,S. Darnold QB - SEA ,16.26,T. Higgins WR - CIN ,18.20,T. Etienne RB - JAX ,0.00,Cowboys DEF ,0.00,-,-,113.44,Alex,149.52
Howard,2,J. Daniels QB - WAS ,5.24,D. Henry RB - BAL ,25.20,K. Hunt RB - KC ,22.30,S. Diggs WR - NE Q ,7.30,M. Nabers WR - NYG ,8.10,B. Bowers TE - LV ,19.30,S. Tucker RB - TB ,4.80,A. Seibert K - WAS Q ,16.00,Vikings DEF ,11.00,R. Mostert RB - LV ,3.00,D. Moore WR - CHI ,0.00,C. Ridley WR - TEN ,7.20,M. Andrews TE - BAL ,20.10,K. Murray QB - ARI ,20.20,D. Swift RB - CHI ,0.00,R. Rice WR - KC Q ,0.00,119.24,Joshua,114.94
Sean,1,L. Jackson QB - BAL ,34.44,C. Hubbard RB - CAR ,11.20,B. Robinson RB - ATL ,23.30,C. Godwin WR - TB Q ,13.50,D. Mooney WR - ATL Q ,9.60,G. Kittle TE - SF ,15.20,B. Hall RB - NYJ ,26.10,H. Butker K - KC ,4.00,49ers DEF ,5.00,J. Smith-Schuster WR - KC ,0.00,J. Taylor RB - IND ,0.00,T. Bigsby RB - JAX ,23.80,X. Worthy WR - KC ,5.40,B. Aubrey K - DAL Q ,0.00,-,-,-,-,142.34,Luke,93.26
