Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,8,J. Allen QB - BUF ,24.40,J. Jacobs RB - GB ,12.00,J. Gibbs RB - DET ,12.10,D. Metcalf WR - PIT ,7.80,D. London WR - ATL ,19.40,D. Kincaid TE - BUF ,11.10,B. Aiyuk WR - SF Q ,5.70,C. McLaughlin K - TB ,9.00,Texans DEF ,12.00,M. Evans WR - TB ,5.40,C. Kupp WR - SEA ,0.00,A. Ekeler RB - WAS ,10.80,K. Williams RB - LAR ,0.00,T. Kraft TE - GB ,3.50,B. Irving RB - TB ,18.50,J. Brooks RB - CAR PUP ,0.00,113.50,Howard,127.26
Joshua,7,J. Burrow QB - CIN ,19.82,J. Williams RB - DAL ,4.60,J. Cook RB - BUF ,0.00,A. Cooper WR - BUF ,8.20,D. Smith WR - PHI ,15.40,K. Pitts TE - ATL ,10.00,D. Samuel WR - WAS ,20.70,J. Tucker K - BAL ,12.00,Bengals DEF ,8.00,K. Allen WR - CHI ,21.10,J. Jefferson WR - MIN ,0.00,I. Likely TE - BAL ,4.70,B. Purdy QB - SF ,24.10,C. Brown RB - CIN Q ,14.40,D. Achane RB - MIA ,0.00,T. Hockenson TE - MIN ,0.00,98.72,Sean,164.72
Justin,3,B. Mayfield QB - TB ,25.90,A. Kamara RB - NO Q ,17.40,S. Barkley RB - PHI ,7.40,C. Lamb WR - DAL ,16.10,C. Olave WR - NO Q ,-0.50,P. Freiermuth TE - PIT ,3.60,B. Thomas WR - JAX ,5.70,K. Fairbairn K - HOU ,11.00,Steelers DEF ,11.00,T. Kelce TE - KC ,0.00,D. Adams WR - LAR ,0.00,A. Lazard WR - NYJ ,23.40,T. Pollard RB - TEN ,17.80,R. Stevenson RB - NE ,0.00,C. Stroud QB - HOU ,18.38,-,-,97.60,Luke,121.06
Luke,6,J. Hurts QB - PHI ,21.86,J. Conner RB - ARI Q ,6.60,J. Dobbins RB - LAC ,18.20,A. St. Brown WR - DET ,13.70,T. Dell WR - HOU Q ,18.70,S. LaPorta TE - DET ,12.20,J. Reed WR - GB Q ,14.80,Y. Koo K - ATL Q ,12.00,Ravens DEF ,3.00,A. Jones RB - MIN ,0.00,N. Chubb RB - CLE Q ,0.00,C. Kmet TE - CHI ,24.00,J. Love QB - GB ,25.62,N. Collins WR - HOU ,0.00,Z. Flowers WR - BAL Q ,22.40,P. Nacua WR - LAR ,0.00,121.06,Justin,97.60
Matthew,4,D. Prescott QB - DAL Q ,3.22,D. Montgomery RB - DET ,21.00,J. Mason RB - MIN Q ,9.20,T. McLaurin WR - WAS ,23.30,G. Wilson WR - NYJ ,24.70,J. Ferguson TE - DAL ,4.10,J. Mixon RB - HOU ,27.20,E. McPherson K - CIN Q ,5.00,Bills DEF ,6.00,T. Hill WR - MIA Q ,0.00,D. Goedert TE - PHI ,0.00,D. Johnson WR - CLE ,19.80,M. Pittman WR - IND ,12.50,T. Sermon RB - PIT ,2.90,J. Williams WR - DET ,17.70,C. McCaffrey RB - SF ,0.00,123.72,Aiden,101.70
Aiden,5,K. Cousins QB - ATL ,12.50,T. Etienne RB - JAX ,-0.10,K. Walker RB - SEA Q ,20.90,J. Chase WR - CIN ,12.20,M. Harrison WR - ARI ,0.00,T. McBride TE - ARI ,17.60,A. Brown WR - PHI ,23.60,C. Boswell K - PIT ,16.00,Cowboys DEF ,-1.00,Z. Ertz TE - WAS ,10.80,D. Njoku TE - CLE Q ,8.10,C. Ridley WR - TEN ,0.90,S. Darnold QB - SEA ,0.00,T. Higgins WR - CIN ,14.70,B. Robinson RB - WAS ,0.00,-,-,101.70,Matthew,123.72
Howard,2,J. Daniels QB - WAS ,20.96,D. Henry RB - BAL ,25.20,D. Swift RB - CHI ,21.90,S. Diggs WR - NE Q ,19.70,D. Moore WR - CHI ,6.00,B. Bowers TE - LV ,16.10,J. Ford RB - CLE ,1.40,A. Seibert K - WAS Q ,13.00,Broncos DEF ,3.00,R. Mostert RB - LV ,0.00,K. Hunt RB - KC ,0.00,M. Andrews TE - BAL ,15.60,K. Murray QB - ARI ,11.96,M. Nabers WR - NYG ,0.00,Vikings DEF ,0.00,-,-,127.26,Alex,113.50
Sean,1,L. Jackson QB - BAL ,18.92,C. Hubbard RB - CAR ,15.30,B. Robinson RB - ATL ,25.50,C. Godwin WR - TB Q ,35.50,D. Mooney WR - ATL Q ,6.80,G. Kittle TE - SF ,22.80,B. Hall RB - NYJ ,21.90,B. Aubrey K - DAL Q ,11.00,49ers DEF ,7.00,J. Smith-Schuster WR - KC ,0.00,C. Kirk WR - HOU Q ,6.90,J. Taylor RB - IND ,0.00,T. Bigsby RB - JAX ,2.40,X. Worthy WR - KC ,0.00,H. Butker K - KC ,0.00,-,-,164.72,Joshua,98.72
