Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,3,J. Allen QB - BUF ,9.76,K. Williams RB - LAR ,15.20,R. White RB - TB ,3.30,T. Hill WR - MIA Q ,6.60,C. Kupp WR - SEA ,7.70,D. Kincaid TE - BUF ,7.30,J. Conner RB - ARI Q ,19.40,J. Moody K - SF ,5.00,Jets DEF ,9.00,D. Prescott QB - DAL Q ,12.92,D. Moore WR - CHI ,11.30,T. McLaurin WR - WAS ,8.20,G. Pickens WR - DAL ,4.90,Z. Flowers WR - BAL Q ,22.10,J. Brooks RB - CAR PUP ,0.00,N. Chubb RB - CLE Q ,0.00,83.26,Luke,137.32
Joshua,2,J. Herbert QB - LAC ,11.00,B. Hall RB - NYJ ,24.40,D. Achane RB - MIA ,29.50,J. Jefferson WR - MIN ,23.30,J. Waddle WR - MIA ,8.50,K. Pitts TE - ATL ,5.00,D. Samuel WR - WAS ,18.00,J. Tucker K - BAL ,11.00,Bengals DEF ,9.00,T. Lockett WR - TEN ,3.50,E. Engram TE - DEN Q ,0.00,A. Ekeler RB - WAS ,11.50,J. Burrow QB - CIN ,17.22,D. Smith WR - PHI ,20.60,J. Cook RB - BUF ,28.50,T. Hockenson TE - MIN ,0.00,139.70,Matthew,108.54
Justin,1,C. Stroud QB - HOU ,14.30,A. Kamara RB - NO Q ,44.00,S. Barkley RB - PHI ,17.60,D. Adams WR - LAR ,26.00,C. Lamb WR - DAL ,19.00,T. Kelce TE - KC ,1.60,R. Stevenson RB - NE ,17.00,H. Butker K - KC ,10.00,Steelers DEF ,13.00,B. Mayfield QB - TB ,18.80,D. Montgomery RB - DET ,17.00,M. Pittman WR - IND ,5.10,P. Freiermuth TE - PIT ,7.90,T. Dell WR - HOU Q ,2.30,B. Thomas WR - JAX ,11.40,-,-,162.50,Howard,112.74
Luke,6,J. Hurts QB - PHI ,23.82,J. Dobbins RB - LAC ,20.10,I. Pacheco RB - KC ,16.10,A. St. Brown WR - DET ,22.90,N. Collins WR - HOU ,27.50,S. LaPorta TE - DET ,3.30,J. Reed WR - GB Q ,6.60,Y. Koo K - ATL Q ,10.00,Ravens DEF ,7.00,J. Goff QB - DET ,8.78,A. Jones RB - MIN ,9.80,D. Metcalf WR - PIT ,28.90,D. Singletary RB - NYG ,14.50,D. London WR - ATL ,17.40,P. Nacua WR - LAR ,0.00,-,-,137.32,Alex,83.26
Matthew,7,P. Mahomes QB - KC ,12.94,J. Mixon RB - HOU ,8.00,J. Mason RB - MIN Q ,17.40,M. Evans WR - TB ,7.20,G. Wilson WR - NYJ ,10.20,C. Parkinson TE - LAR ,2.20,J. Gibbs RB - DET ,17.60,E. McPherson K - CIN Q ,15.00,Bills DEF ,18.00,D. Goedert TE - PHI ,6.80,T. Pollard RB - TEN ,15.20,B. Aiyuk WR - SF Q ,8.30,J. Ford RB - CLE ,7.40,C. Olave WR - NO Q ,12.80,R. Rice WR - KC Q ,18.50,C. McCaffrey RB - SF ,0.00,108.54,Joshua,139.70
Aiden,5,A. Richardson QB - IND Q ,9.86,T. Etienne RB - JAX ,14.80,B. Robinson RB - WAS ,14.60,R. McCloud WR - ATL ,7.50,J. Chase WR - CIN ,7.50,T. McBride TE - ARI ,18.70,M. Harrison WR - ARI ,29.00,D. Hopkins K - CLE ,12.00,Cowboys DEF ,-1.00,D. Njoku TE - CLE Q ,0.00,C. Kirk WR - HOU Q ,0.90,C. Ridley WR - TEN ,24.70,A. Brown WR - PHI ,0.00,T. Higgins WR - CIN ,0.00,K. Walker RB - SEA Q ,0.00,-,-,112.96,Sean,108.68
Howard,8,K. Murray QB - ARI ,28.54,E. Elliott RB - LAC ,5.20,D. Henry RB - BAL ,16.60,S. Diggs WR - NE Q ,7.70,L. McConkey WR - LAC ,4.60,B. Bowers TE - LV ,18.80,J. Jeudy WR - CLE ,12.30,C. Dicker K - LAC ,8.00,Vikings DEF ,11.00,M. Andrews TE - BAL ,9.10,J. Jacobs RB - GB ,13.10,D. Johnson WR - CLE ,4.50,D. Swift RB - CHI ,8.20,A. Mitchell WR - IND ,4.00,M. Nabers WR - NYG ,28.70,-,-,112.74,Justin,162.50
Sean,4,L. Jackson QB - BAL ,16.38,J. Taylor RB - IND ,15.50,B. Robinson RB - ATL ,16.20,A. Cooper WR - BUF ,4.10,X. Worthy WR - KC ,4.20,I. Likely TE - BAL ,4.60,C. Godwin WR - TB Q ,24.70,B. Aubrey K - DAL Q ,15.00,49ers DEF ,8.00,K. Allen WR - CHI ,0.00,K. Hunt RB - KC ,0.00,G. Kittle TE - SF ,20.60,N. Harris RB - LAC ,8.40,J. Williams WR - DET ,14.40,T. Bass K - BUF ,7.00,-,-,108.68,Aiden,112.96
