Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,5,J. Allen QB - BUF ,41.28,K. Williams RB - LAR ,13.20,J. Gibbs RB - DET ,28.40,M. Evans WR - TB ,36.90,C. Kupp WR - SEA ,0.00,T. McBride TE - ARI ,17.70,J. Jacobs RB - GB ,21.60,J. Sanders K - MIA ,8.00,Cardinals DEF ,5.00,J. Smith TE - MIA ,19.80,J. Herbert QB - LAC ,13.80,D. London WR - ATL ,14.30,I. Pacheco RB - KC ,5.70,T. Dell WR - HOU Q ,6.10,L. McConkey WR - LAC ,16.80,-,-,172.08,Joshua,145.74
Joshua,8,J. Burrow QB - CIN ,16.84,J. Cook RB - BUF ,26.30,D. Achane RB - MIA ,14.60,T. McLaurin WR - WAS ,26.30,J. Meyers WR - LV ,10.90,T. Hockenson TE - MIN ,10.20,G. Wilson WR - NYJ ,14.60,J. Tucker K - BAL ,5.00,Chiefs DEF ,21.00,A. Cooper WR - BUF ,0.00,P. Mahomes QB - KC ,15.76,D. Samuel WR - WAS ,4.90,J. Williams RB - DAL ,4.30,D. Smith WR - PHI ,28.00,J. Williams WR - DET ,12.70,-,-,145.74,Alex,172.08
Justin,2,B. Mayfield QB - TB ,28.02,A. Kamara RB - NO Q ,17.00,S. Barkley RB - PHI ,9.40,D. Adams WR - LAR ,42.80,C. Lamb WR - DAL ,26.60,T. Kelce TE - KC ,6.70,C. Sutton WR - DEN ,12.20,K. Fairbairn K - HOU ,8.00,Steelers DEF ,7.00,J. Goff QB - DET ,41.06,T. Pollard RB - TEN ,8.50,R. Stevenson RB - NE ,9.50,P. Freiermuth TE - PIT ,11.20,N. Harris RB - LAC ,3.10,B. Thomas WR - JAX ,32.50,-,-,157.72,Aiden,109.04
Luke,3,J. Hurts QB - PHI ,28.10,J. Conner RB - ARI Q ,30.80,A. Jones RB - MIN ,18.60,N. Collins WR - HOU ,17.70,P. Nacua WR - LAR ,17.80,T. Kraft TE - GB ,5.40,A. St. Brown WR - DET ,37.30,C. Dicker K - LAC ,5.00,Packers DEF ,15.00,N. Chubb RB - CLE Q ,2.10,G. Edwards RB - LAC ,2.30,J. Love QB - GB ,17.56,K. Shakir WR - BUF ,15.90,Z. Flowers WR - BAL Q ,11.30,J. Reed WR - GB Q ,11.10,J. Dobbins RB - LAC ,0.00,175.70,Matthew,107.68
Matthew,4,B. Purdy QB - SF ,3.98,J. Mixon RB - HOU ,10.60,Z. Charbonnet RB - SEA ,13.60,T. Hill WR - MIA Q ,5.60,J. Jefferson WR - MIN ,20.30,S. LaPorta TE - DET ,18.10,D. Montgomery RB - DET ,7.50,J. Bates K - DET ,6.00,Broncos DEF ,22.00,K. Allen WR - CHI ,20.20,T. Tagovailoa QB - MIA Q ,3.84,J. Jennings WR - SF ,5.10,R. White RB - TB ,14.10,J. Smith-Njigba WR - SEA ,18.30,Bills DEF ,1.00,-,-,107.68,Luke,175.70
Aiden,6,S. Darnold QB - SEA ,11.24,C. Hubbard RB - CAR ,8.90,C. Brown RB - CIN Q ,26.30,A. Brown WR - PHI ,25.00,J. Chase WR - CIN ,18.40,Z. Ertz TE - WAS ,4.50,B. Robinson RB - WAS ,11.70,C. Boswell K - PIT ,7.00,Lions DEF ,-4.00,D. Njoku TE - CLE Q ,0.00,D. Metcalf WR - PIT ,5.80,K. Walker RB - SEA Q ,0.00,T. Tracy RB - NYG ,4.50,M. Harrison WR - ARI ,5.20,A. Ekeler RB - WAS ,0.00,-,-,109.04,Justin,157.72
Howard,7,K. Murray QB - ARI ,10.06,K. Hunt RB - KC ,5.90,R. Dowdle RB - CAR ,14.90,A. Thielen WR - CAR ,10.10,C. Ridley WR - TEN ,9.00,B. Bowers TE - LV ,6.50,D. Moore WR - CHI ,15.00,D. Carlson K - LV ,5.00,Vikings DEF ,8.00,D. Henry RB - BAL ,6.70,M. Andrews TE - BAL ,10.40,D. Swift RB - CHI ,9.90,J. Downs WR - IND ,6.20,M. Nabers WR - NYG ,24.20,J. Daniels QB - WAS ,23.64,-,-,84.46,Sean,121.20
Sean,1,L. Jackson QB - BAL ,36.10,J. Taylor RB - IND ,10.10,B. Robinson RB - ATL ,14.50,D. Hopkins WR - BAL ,8.60,J. Jeudy WR - CLE ,21.80,G. Kittle TE - SF ,10.10,D. Mooney WR - ATL Q ,0.00,B. Aubrey K - DAL Q ,14.00,Ravens DEF ,6.00,T. Higgins WR - CIN ,19.80,B. Hall RB - NYJ ,13.10,G. Pickens WR - DAL ,0.00,J. Addison WR - MIN ,13.30,I. Guerendo RB - SF Q ,11.50,B. Irving RB - TB ,13.30,-,-,121.20,Howard,84.46
