Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,8,J. Allen QB - BUF ,14.64,J. Conner RB - ARI Q ,14.00,K. Williams RB - LAR ,15.50,M. Evans WR - TB ,23.20,B. Aiyuk WR - SF Q ,22.70,D. Kincaid TE - BUF ,5.40,J. Jacobs RB - GB ,16.40,J. Moody K - SF ,8.00,Jets DEF ,9.00,C. Kupp WR - SEA ,0.00,A. Ekeler RB - WAS ,11.70,G. Pickens WR - DAL ,5.60,Z. Flowers WR - BAL Q ,19.00,J. Gibbs RB - DET ,0.00,J. Brooks RB - CAR PUP ,0.00,N. Chubb RB - CLE Q ,0.00,128.84,Sean,131.12
Joshua,6,B. Purdy QB - SF ,13.06,J. Cook RB - BUF ,17.90,D. Achane RB - MIA ,2.70,A. Cooper WR - BUF ,10.00,J. Jefferson WR - MIN ,15.20,K. Pitts TE - ATL ,15.80,D. Samuel WR - WAS ,3.00,J. Tucker K - BAL ,13.00,Bengals DEF ,1.00,K. Allen WR - CHI ,6.30,J. Burrow QB - CIN ,33.78,J. Williams RB - DAL ,16.10,D. Smith WR - PHI ,0.00,I. Likely TE - BAL ,16.30,K. Shakir WR - BUF ,0.00,T. Hockenson TE - MIN ,0.00,91.66,Justin,132.80
Justin,1,B. Mayfield QB - TB ,23.40,A. Kamara RB - NO Q ,12.60,R. Stevenson RB - NE ,19.20,C. Lamb WR - DAL ,11.40,B. Thomas WR - JAX ,23.20,T. Kelce TE - KC ,16.00,C. Olave WR - NO Q ,3.00,K. Fairbairn K - HOU ,15.00,Steelers DEF ,9.00,D. Adams WR - LAR ,0.00,A. Lazard WR - NYJ ,13.40,S. Barkley RB - PHI ,0.00,T. Pollard RB - TEN ,0.00,P. Freiermuth TE - PIT ,9.20,C. Stroud QB - HOU ,15.94,-,-,132.80,Joshua,91.66
Luke,7,J. Love QB - GB ,15.96,A. Jones RB - MIN ,6.30,Z. Moss RB - CIN Q ,8.20,D. Metcalf WR - PIT ,7.50,N. Collins WR - HOU ,15.80,C. Kmet TE - CHI ,8.70,J. Reed WR - GB Q ,13.70,Y. Koo K - ATL Q ,16.00,Ravens DEF ,1.00,J. Dobbins RB - LAC ,0.00,J. Hurts QB - PHI ,0.00,A. St. Brown WR - DET ,0.00,D. London WR - ATL ,33.40,S. LaPorta TE - DET ,0.00,J. Addison WR - MIN ,6.60,P. Nacua WR - LAR ,0.00,93.16,Aiden,105.56
Matthew,5,D. Prescott QB - DAL Q ,16.38,J. Ford RB - CLE ,7.90,J. Mason RB - MIN Q ,8.80,M. Pittman WR - IND ,14.70,G. Wilson WR - NYJ ,29.10,J. Ferguson TE - DAL ,13.00,T. Hill WR - MIA Q ,12.90,E. McPherson K - CIN Q ,4.00,Bills DEF ,5.00,J. Mixon RB - HOU ,0.00,P. Mahomes QB - KC ,13.44,D. Goedert TE - PHI ,0.00,T. McLaurin WR - WAS ,13.40,D. Montgomery RB - DET ,0.00,R. Shaheed WR - NO Q ,18.60,C. McCaffrey RB - SF ,0.00,111.78,Howard,170.42
Aiden,4,S. Darnold QB - SEA ,4.26,T. Etienne RB - JAX ,12.00,K. Walker RB - SEA Q ,14.60,J. Chase WR - CIN ,41.30,M. Harrison WR - ARI ,5.60,Z. Ertz TE - WAS ,3.00,B. Robinson RB - WAS ,13.80,C. Boswell K - PIT ,5.00,Cowboys DEF ,6.00,D. Njoku TE - CLE Q ,2.40,C. Ridley WR - TEN ,0.00,A. Brown WR - PHI ,0.00,T. Higgins WR - CIN ,29.30,T. McBride TE - ARI ,11.30,A. Richardson QB - IND Q ,0.00,-,-,105.56,Luke,93.16
Howard,3,J. Daniels QB - WAS ,19.72,D. Henry RB - BAL ,16.60,D. Swift RB - CHI ,20.00,S. Diggs WR - NE Q ,14.20,D. Moore WR - CHI ,27.50,B. Bowers TE - LV ,23.70,K. Hunt RB - KC ,18.70,H. Butker K - KC ,14.00,Vikings DEF ,16.00,R. Mostert RB - LV ,11.80,M. Andrews TE - BAL ,9.50,K. Murray QB - ARI ,24.10,D. Johnson WR - CLE ,5.90,R. White RB - TB ,9.60,M. Nabers WR - NYG ,0.00,-,-,170.42,Matthew,111.78
Sean,2,L. Jackson QB - BAL ,33.42,C. Hubbard RB - CAR ,17.50,B. Robinson RB - ATL ,10.70,C. Godwin WR - TB Q ,11.60,X. Worthy WR - KC ,11.80,G. Kittle TE - SF ,20.40,B. Hall RB - NYJ ,6.70,B. Aubrey K - DAL Q ,10.00,49ers DEF ,9.00,C. Kirk WR - HOU Q ,12.80,J. Taylor RB - IND ,0.00,R. Odunze WR - CHI ,9.00,-,-,-,-,-,-,-,-,131.12,Alex,128.84
