Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,1,J. Allen QB - BUF ,31.18,K. Williams RB - LAR ,14.40,R. White RB - TB ,16.60,T. Hill WR - MIA Q ,26.00,C. Kupp WR - SEA ,32.00,D. Kincaid TE - BUF ,2.10,D. Moore WR - CHI ,10.00,J. Moody K - SF ,24.00,Jets DEF ,2.00,D. Prescott QB - DAL Q ,11.46,J. Conner RB - ARI Q ,19.30,T. McLaurin WR - WAS ,3.70,G. Pickens WR - DAL ,13.50,Z. Flowers WR - BAL Q ,11.10,J. Brooks RB - CAR PUP ,0.00,N. Chubb RB - CLE Q ,0.00,158.28,Joshua,121.76
Joshua,6,J. Burrow QB - CIN ,8.06,B. Hall RB - NYJ ,18.30,D. Achane RB - MIA ,23.00,J. Jefferson WR - MIN ,15.90,J. Waddle WR - MIA ,16.20,K. Pitts TE - ATL ,11.60,D. Samuel WR - WAS ,18.70,J. Tucker K - BAL ,8.00,Bengals DEF ,2.00,E. Engram TE - DEN Q ,1.50,A. Ekeler RB - WAS ,10.20,J. Herbert QB - LAC ,10.36,D. Smith WR - PHI ,15.40,J. Cook RB - BUF ,13.30,R. Odunze WR - CHI ,2.10,T. Hockenson TE - MIN ,0.00,121.76,Alex,158.28
Justin,3,J. Fields QB - NYJ ,11.94,A. Kamara RB - NO Q ,22.00,S. Barkley RB - PHI ,33.20,D. Adams WR - LAR ,10.90,C. Lamb WR - DAL ,13.60,T. Kelce TE - KC ,6.40,M. Pittman WR - IND ,7.10,H. Butker K - KC ,9.00,Steelers DEF ,12.00,D. Montgomery RB - DET ,16.30,R. Stevenson RB - NE ,21.60,P. Freiermuth TE - PIT ,6.70,T. Dell WR - HOU Q ,8.90,C. Stroud QB - HOU ,18.66,B. Thomas WR - JAX ,14.70,-,-,126.14,Aiden,125.38
Luke,7,J. Hurts QB - PHI ,16.42,A. Jones RB - MIN ,18.90,I. Pacheco RB - KC ,15.80,A. St. Brown WR - DET ,4.30,P. Nacua WR - LAR ,8.20,S. LaPorta TE - DET ,8.50,N. Collins WR - HOU ,17.70,Y. Koo K - ATL Q ,4.00,Ravens DEF ,4.00,J. Goff QB - DET ,11.38,D. Metcalf WR - PIT ,5.90,D. Singletary RB - NYG ,9.20,D. London WR - ATL ,3.50,J. Reed WR - GB Q ,33.10,-,-,-,-,97.82,Matthew,108.44
Matthew,4,P. Mahomes QB - KC ,15.14,J. Mason RB - MIN Q ,22.20,J. Gibbs RB - DET ,17.40,M. Evans WR - TB ,23.10,G. Wilson WR - NYJ ,12.00,J. Ferguson TE - DAL ,4.50,C. Olave WR - NO Q ,3.10,E. McPherson K - CIN Q ,6.00,Bills DEF ,5.00,J. Mixon RB - HOU ,26.80,C. McCaffrey RB - SF ,0.00,T. Pollard RB - TEN ,18.40,B. Aiyuk WR - SF Q ,4.80,J. Ford RB - CLE ,18.90,R. Rice WR - KC Q ,17.30,-,-,108.44,Luke,97.82
Aiden,5,A. Richardson QB - IND Q ,26.08,T. Etienne RB - JAX ,11.90,K. Walker RB - SEA Q ,18.90,A. Brown WR - PHI ,22.90,J. Chase WR - CIN ,12.20,T. McBride TE - ARI ,8.00,M. Harrison WR - ARI ,1.40,D. Hopkins K - CLE ,7.00,Cowboys DEF ,17.00,D. Njoku TE - CLE Q ,8.40,C. Kirk WR - HOU Q ,4.00,C. Ridley WR - TEN ,8.00,G. Edwards RB - LAC ,3.80,T. Higgins WR - CIN ,0.00,Z. White RB - LV ,4.60,-,-,125.38,Justin,126.14
Howard,8,C. Williams QB - CHI Q ,7.22,D. Henry RB - BAL ,10.60,D. Swift RB - CHI ,5.00,S. Diggs WR - NE Q ,21.90,D. Johnson WR - CLE ,3.90,M. Andrews TE - BAL ,3.40,J. Jacobs RB - GB ,12.40,C. Dicker K - LAC ,12.00,Falcons DEF ,3.00,E. Elliott RB - LAC ,12.90,K. Murray QB - ARI ,14.18,A. Mitchell WR - IND ,1.20,B. Bowers TE - LV ,11.80,M. Nabers WR - NYG ,11.60,L. McConkey WR - LAC ,14.90,-,-,79.42,Sean,131.72
Sean,2,L. Jackson QB - BAL ,25.12,J. Taylor RB - IND ,10.80,B. Robinson RB - ATL ,16.10,A. Cooper WR - BUF ,3.60,X. Worthy WR - KC ,20.80,G. Kittle TE - SF ,8.00,C. Godwin WR - TB Q ,22.30,B. Aubrey K - DAL Q ,19.00,49ers DEF ,6.00,K. Allen WR - CHI ,6.90,N. Harris RB - LAC ,8.90,B. Purdy QB - SF ,10.34,T. Bass K - BUF ,10.00,Browns DEF ,2.00,-,-,-,-,131.72,Howard,79.42
