TeamName,RegularSeasonRank,Record,PointsFor,PointsAgainst,PlayoffRank,ManagerName,Moves,Trades,DraftPosition
Team Justin,1,9-5-0,"1,871.00","1,700.54",2,Justin,25,1,2
Team Justin,1,9-5-0,"1,871.00","1,700.54",2,Justin,25,1,2
Team GOAT,2,9-5-0,"1,736.92","1,598.88",1,Alex,34,2,1
beaners,3,8-6-0,"1,665.62","1,654.78",6,Howard,55,2,7
Scummy wummy,4,2-12-0,"1,307.80","1,713.80",7,Ethan,0,0,5
Beefcakes,1,11-3-0,"1,737.58","1,482.46",3,Aiden,12,4,6
The Booty Clappers,2,10-4-0,"1,659.86","1,558.60",4,Ulises,38,3,3
Houston Stars,3,5-9-0,"1,618.50","1,696.68",8,Sean,77,6,8
Hate minorities,4,2-12-0,"1,529.86","1,721.40",5,Luke,9,0,4
