TeamName,RegularSeasonRank,Record,PointsFor,PointsAgainst,PlayoffRank,ManagerName,Moves,Trades,DraftPosition
Team Cruz,1,13-2-0,"2,024.50","1,721.40",4,Alex,28,0,3
Team Cruz,1,13-2-0,"2,024.50","1,721.40",4,Alex,28,0,3
The Booty Clappers,2,7-8-0,"2,005.36","1,797.44",1,Ulises,17,1,5
Greek Freak Fan Brook Lopez,3,6-9-0,"1,788.20","1,889.72",5,Luke,31,0,2
beaners,4,5-10-0,"1,478.18","1,939.74",6,Howard,28,4,7
Houston Stars,1,11-4-0,"2,103.24","1,939.06",2,Sean,38,5,1
The Labbers,2,7-8-0,"2,091.20","1,941.98",3,Matthew,40,5,8
Team Justin,3,6-9-0,"1,793.22","1,827.60",8,Justin,14,2,4
Beefcakes,4,5-10-0,"1,735.58","1,962.54",7,Aiden,15,1,6
