TeamName,RegularSeasonRank,Record,PointsFor,PointsAgainst,PlayoffRank,ManagerName,Moves,Trades,DraftPosition
The Labbers,1,11-3-0,"2,012.46","1,630.78",2,Matthew,40,3,7
The Labbers,1,11-3-0,"2,012.46","1,630.78",2,Matthew,40,3,7
Team Justin,2,9-5-0,"1,797.20","1,740.14",4,Justin,20,0,4
beaners,3,7-7-0,"1,681.64","1,768.72",3,Howard,34,1,1
Team Cruz,4,5-9-0,"1,693.90","1,846.32",5,Alex,28,0,8
Beefcakes,1,10-4-0,"1,980.44","1,744.40",1,Aiden,5,0,6
Jeanfreau Strange,2,6-8-0,"1,763.02","1,804.74",6,Luke,32,0,3
The Booty Clappers,3,5-9-0,"1,696.78","1,934.76",7,Ulises,35,3,5
Houston Stars,4,3-11-0,"1,609.42","1,765.00",8,Sean,56,1,2
